id,title,abstract,authors,year,venue,search_strings;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1,Leveraging GPT-4 for Vulnerability-Witnessing Unit Test Generation,""In the life-cycle of software development, testing plays a crucial role in quality assurance. Proper testing not only increases code coverage and prevents regressions but it can also ensure that any potential vulnerabilities in the software are identified and effectively fixed. However, creating such tests is a complex, resource-consuming manual process. To help developers and security experts, this paper explores the automatic unit test generation capability of one of the most widely used large language models, GPT-4, from the perspective of vulnerabilities. We examine a subset of the VUL4J dataset containing real vulnerabilities and their corresponding fixes to determine whether GPT-4 can generate syntactically and/or semantically correct unit tests based on the code before and after the fixes as evidence of vulnerability mitigation. We focus on the impact of code contexts, the effectiveness of GPT-4’s self-correction ability, and the subjective usability of the generated test cases. Our results indicate that GPT-4 can generate syntactically correct test cases 66.5% of the time without domain-specific pre-training. Although the semantic correctness of the fixes could be automatically validated in only 7. 5% of the cases, our subjective evaluation shows that GPT-4 generally produces test templates that can be further developed into fully functional vulnerability-witnessing tests with relatively minimal manual effort.Therefore, despite the limited data, our initial findings suggest that GPT-4 can be effectively used in the generation of vulnerability-witnessing tests. It may not operate entirely autonomously, but it certainly plays a significant role in a partially automated process."",""Antal, Gábor"; Bán, Dénes; Isztin, Martin; Ferenc, Rudolf;" Hegedus, Péter"",2025,Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering,String B";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2,Domain Adaptation for Code Model-Based Unit Test Case Generation,""Recently, deep learning-based test case generation approaches have been proposed to automate the generation of unit test cases. In this study, we leverage Transformer-based code models to generate unit tests with the help of Domain Adaptation (DA) at a project level. Specifically, we use CodeT5, a relatively small language model trained on source code data, and fine-tune it on the test generation task. Then, we apply domain adaptation to each target project data to learn project-specific knowledge (project-level DA). We use the Methods2test dataset to fine-tune CodeT5 for the test generation task and the Defects4j dataset for project-level domain adaptation and evaluation. We compare our approach with (a) CodeT5 fine-tuned on the test generation without DA, (b) the A3Test tool, and (c) GPT-4 on five projects from the Defects4j dataset. The results show that tests generated using DA can increase the line coverage by 18.62%, 19.88%, and 18.02% and mutation score by 16.45%, 16.01%, and 12.99% compared to the above (a), (b), and (c) baselines, respectively. The overall results show consistent improvements in metrics such as parse rate, compile rate, BLEU, and CodeBLEU. In addition, we show that our approach can be seen as a complementary solution alongside existing search-based test generation tools such as EvoSuite, to increase the overall coverage and mutation scores with an average of 34.42% and 6.8%, for line coverage and mutation score, respectively."",""Shin, Jiho"; Hashtroudi, Sepehr; Hemmati, Hadi;" Wang, Song"",2024,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"3,Reference-Based Retrieval-Augmented Unit Test Generation,""Automated unit test generation has been widely studied, with Large Language Models (LLMs) recently showing significant potential. LLMs like GPT-4, trained in vast text and code data, excel in various code-related tasks, including unit test generation. However, existing LLM-based approaches often focus solely on the context within the code itself, such as referenced variables, while neglecting broader task-specific contexts, such as the utility of referring to existing tests of relevant methods in unit test generation. Moreover, in the context of unit test generation, these tools prioritize high code coverage, often at the expense of practical usability, correctness, and maintainability.In response, we propose Reference-Based Retrieval Augmentation, a novel mechanism that extends LLM-based Retrieval-Augmented Generation (RAG) to retrieve relevant information by considering task-specific context. In the unit test generation task, for a given focal method, the reference relationships is defined as the reusability or referentiality of tests between the focal method and other methods. To generate high-quality unit tests for the focal method, the test reference relationships are then used to retrieve relevant methods and their existing unit tests. Specifically, we account for the unique structure of unit tests by dividing the test generation process into Given, When, and Then phases. When generating unit tests for a focal method, we retrieve pre-existing tests of other relevant methods, which can provide valuable insights for any of the Given, When, and Then phases. We implement this approach in a tool called RefTest, which sequentially performs preprocessing, test reference retrieval, and unit test generation, using an incremental strategy in which newly generated tests guide the creation of subsequent ones. We evaluated RefTest on 12 open source projects with 1,515 methods, and the results demonstrate that RefTest consistently outperforms existing tools in terms of correctness, completeness, and maintainability of the generated tests."",""Zhang, Zhe"; Liu, Xingyu; Lin, Yuanzhang; Gao, Xiang; Sun, Hailong;" Yuan, Yuan"",2026,ACM Transactions on Software Engineering and Methodology,""String A, String B""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"4,Evaluating the Complex Reasoning and Performance Capabilities of Large Language Models for Test Case Generation,""Modern large language models (LLMs) have demonstrated the ability to generate software test cases, but their reasoning complexity and performance vary widely. This paper presents a systematic evaluation of ten state-of-the-art generative AI models on the task of automated test case generation. We introduce a unified benchmarking framework that measures both the quality of the generated tests – via a complexity score and coverage of key testing operations – and the performance – via response time and output quantity. Our experiments reveal significant differences: some models produce highly complex, thorough test suites (with extensive assertions and even error-handling cases) but at slower speeds, while others respond faster yet with simpler, less rigorous tests. These findings underscore the importance of specialized evaluation methods for AI-driven software testing and demonstrate how our Learning-Based Software Testing (LBST) suite can benchmark LLMs’ complex reasoning capabilities in generating test cases."",""Bala Mahalingam, Vijay"; Parthasarathy, Harish; Baskaran, Aakash; Chandrasekaran, Bharath;" Rajeshkumar, Muthukrishnan"",2026,Proceedings of the 2026 10th International Conference on Control Engineering and Artificial Intelligence,""String A, String B""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"5,CITYWALK: Enhancing LLM-Based C++ Unit Test Generation via Project-Dependency Awareness and Language-Specific Knowledge,""Unit testing plays a pivotal role in the software development lifecycle, as it ensures code quality. However, writing high-quality unit tests remains a time-consuming task for developers in practice. More recently, the application of large language models (LLMs) in automated unit test generation has demonstrated promising results. Existing approaches primarily focus on interpreted programming languages (e.g., Java), while mature solutions tailored to compiled programming languages like C++ are yet to be explored. The intricate language features of C++, such as pointers, templates, and virtual functions, pose particular challenges for LLMs in generating both executable and high-coverage unit tests. To tackle the aforementioned problems, this article introduces CITYWALK, a novel LLM-based framework for C++ unit test generation. CITYWALK enhances LLMs by providing a comprehensive understanding of the dependency relationships within the project under test via program analysis. Furthermore, CITYWALK incorporates language-specific knowledge about C++ derived from project documentation and empirical observations, significantly improving the correctness of the LLM-generated unit tests. We implement CITYWALK by employing the widely popular LLM GPT-4o. The experimental results show that CITYWALK outperforms current state-of-the-art approaches on a collection of ten popular C++ projects. Our findings demonstrate the effectiveness of CITYWALK in generating high-quality C++ unit tests."",""Zhang, Yuwei"; Lu, Qingyuan; Liu, Kai; Dou, Wensheng; Zhu, Jiaxin; Qian, Li; Zhang, Chunxi; Lin, Zheng;" Wei, Jun"",2026,ACM Transactions on Software Engineering and Methodology,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"6,Static Program Analysis Guided LLM Based Unit Test Generation,""We describe a novel approach to automating unit test generation for Java methods using large language models (LLMs). Existing LLM-based approaches rely on sample usage(s) of the method to test (focal method) and/or provide the entire class of the focal method as input prompt and context. The former approach is often not viable due to the lack of sample usages, especially for newly written focal methods. The latter approach does not scale well enough";" the bigger the complexity of the focal method and larger associated class, the harder it is to produce adequate test code (due to factors such as exceeding the prompt and context lengths of the underlying LLM). We show that augmenting prompts with concise and precise context information obtained by program analysis increases the effectiveness of generating unit test code through LLMs. We validate our approach on a large commercial Java project and a popular open-source Java project."",""Roy Chowdhury, Sujoy"; Sridhara, Giriprasad; Raghavan, A K; Bose, Joy; Mazumdar, Sourav; Singh, Hamender; Sugumaran, Srinivasan Bajji;" Britto, Ricardo"",2024,Proceedings of the 8th International Conference on Data Science and Management of Data (12th ACM IKDD CODS and 30th COMAD),String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"7,Rug: Turbo LLM for Rust Unit Test Generation,""Unit testing improves software quality by evaluating isolated sections of the program. This approach alleviates the need for comprehensive program-wide testing and confines the potential error scope within the software. However, unit test development is time-consuming, requiring developers to create appropriate test contexts and determine input values to cover different code regions. This problem is particularly pronounced in Rust due to its intricate type system, making traditional unit test generation tools ineffective in Rust projects. Recently, large language models (LLMs) have demonstrated their proficiency in understanding programming language and completing software engineering tasks. However, merely prompting LLMs with a basic prompt like """"generate unit test for the following source code"""" often results in code with compilation errors. In addition, LLM-generated unit tests often have limited test coverage.To bridge this gap and harness the capabilities of LLM, we design and implement RUG, an end-to-end solution to automatically generate the unit test for Rust projects. To help LLM's generated test pass Rust strict compilation checks, Rug designs a semantic-aware bottom-up approach to divide the context construction problem into dependent sub-problems. It solves these sub-problems sequentially using an LLM and merges them to a complete context. To increase test coverage, Rug integrates coverage-guided fuzzing with LLM to prepare fuzzing harnesses. Applying Rug on 17 real-world Rust programs (average 24,937 LoC), we show that Rug can achieve a high code coverage, up to 71.37%, closely comparable to human effort (73.18%). We submitted 113 unit tests generated by Rug covering the new code: 53 of them have been accepted, 17 rejected, and 43 are pending for review."",""Cheng, Xiang"; Sang, Fan; Zhai, Yizhuo; Zhang, Xiaokuan;" Kim, Taesoo"",2025,Proceedings of the IEEE/ACM 47th International Conference on Software Engineering,String A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"8,Test Intention Guided LLM-Based Unit Test Generation,""The emergence of Large Language Models (LLMs) has accelerated the progress of intelligent software engineering technologies, which brings promising possibilities for unit test generation. However, existing approaches for unit tests directly generated from Large Language Models (LLMs) often prove impractical due to their low coverage and insufficient mocking capabilities. This paper proposes IntUT, a novel approach that utilizes explicit test intentions (e.g., test inputs, mock behaviors, and expected results) to effectively guide the LLM to generate high-quality test cases. Our experimental results on three industry Java projects and live study demonstrate that prompting LLM with test intention can generate high-quality test cases for developers. Specifically, it achieves the improvements on branch coverage by 94% and line coverage by 49%. Finally, we obtain developers' feedback on using IntUT to generate cases for three new Java projects, achieving over 80% line coverage and 30% efficiency improvement on writing unit test cases."",""Nan, Zifan"; Guo, Zhaoqiang; Liu, Kui;" Xia, Xin"",2025,Proceedings of the IEEE/ACM 47th International Conference on Software Engineering,""String A, String B""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9,LIReDroid: LLM-Enhanced Test Case Generation for Static Sensitive Behavior Replication,""Malicious Android applications often employ covert behaviors to exfiltrate sensitive data, thereby compromising user privacy. Traditional detection techniques predominantly utilize static analysis of the source code to detect such sensitive behaviors, yet they are frequently plagued by elevated false positive rates. While dynamic analysis methods offer greater precision, they contend with the challenge of limited coverage. This paper introduces LIReDroid, a hybrid testing approach that aims to replicate sensitive behaviors identified in static analysis call chains. LIReDroid firstly analyze the application’s static invocation chain. Then LIReDroid devises a prompt word model for the generation of test instructions and injection script code. Ultimately, sensitive API call chains are dynamically invoked through code injection, with their activation being meticulously recorded. We presented preliminary experimental results to substantiate the efficacy of LIReDroid. Given these results, we outline future research directions for LIReDroid."",""Wang, Yin"; Fan, Ming; Zhang, Xicheng; Shi, Jifei; Qiu, Zhaoyu; Wang, Haijun;" Liu, Ting"",2024,Proceedings of the 15th Asia-Pacific Symposium on Internetware,String B";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"10,Benchmarking LLMs for Unit Test Generation from Real-World Functions,""Recently, large language models (LLMs) have shown great promise in automating unit test generation, significantly reducing the manual effort required by developers. To effectively evaluate the capabilities of LLMs in this domain, it is crucial to have a well-designed benchmark that accurately reflects real-world scenarios and mitigates common pitfalls. Existing LLM test generation benchmarks are limited by two critical drawbacks: data contamination and structurally simple function code. As a result, scientific conclusions drawn from empirical studies using these benchmarks may be compromised. The evidence presented may be biased due to contamination and may fail to generalize beyond toy programs due to structural simplicity.To address these problems, we introduce ULT (UnLeakedTestbench), a new benchmark specifically designed for function-level unit test generation from real-world Python functions. ULT is constructed through a multi-stage curation process that ensures high cyclomatic complexity and mitigates test case contamination. With 3,909 carefully selected function-level tasks, ULT provides a more realistic and challenging evaluation of LLMs’ test generation capabilities. We also provide PLT (PreLeakedTestbench), a pair benchmark of ULT with leaked tests designed to enable a controlled analysis of memorization versus reasoning in test generation. Based on the two datasets, we conduct a large-scale empirical study involving 12 state-of-the-art LLMs, comparing their performance against established benchmarks. Our evaluation results demonstrate that ULT is significantly more challenging. For example, test cases generated by LLMs only achieve 41.32%, 45.10%, 30.22%, and 40.21% for accuracy, statement coverage, branch coverage, and mutation score on average for all LLMs, respectively. These results are substantially lower than the corresponding metrics on TestEval (91.79%, 92.18%, 82.04%, and 49.69%) and PLT (47.07%, 55.13%, 40.07%, and 50.80%).In addition, different from existing benchmarks, ULT shows a strong correlation between test generation performance and code generation performance. For example, the correlation coefficient between the coding ability and test generation performance (\(Pass@1\)) on ULT is 0.79 (p = 0.002), while it is only 0.56 (p = 0.059) and 0.52 (p = 0.080) on TestEval and PLT, respectively. This indicates that ULT more effectively measures the generalization ability of LLMs. We also make ULT and evaluation results publicly available to foster further research. ULT is available at https://github.com/huangd1999/UnLeakedTestBench."",""Huang, Dong"; Zhang, Jie M.; Harman, Mark; Zhang, Qianru; Du, Mingzhe;" Ng, See-Kiong"",,ACM Transactions on Software Engineering and Methodology,String B";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
