func_id,language,source_repo,file,func_name,class_path,visibility,cc,nloc,params,start_line,end_line
CJ-001,java,apache/commons-math,data/raw/commons-math/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/linear/OpenIntToDoubleHashMap.java,OpenIntToDoubleHashMap::remove,OpenIntToDoubleHashMap,public,5,19,1,346,368
CJ-002,java,apache/commons-csv,data/raw/commons-csv/src/main/java/org/apache/commons/csv/ExtendedBufferedReader.java,ExtendedBufferedReader::readLine,ExtendedBufferedReader,public,8,20,0,261,280
CJ-003,java,jfree/jfreechart,data/raw/jfreechart/src/main/java/org/jfree/chart/renderer/category/LayeredBarRenderer.java,LayeredBarRenderer::equals,LayeredBarRenderer,public,5,16,1,457,472
CJ-004,java,JodaOrg/joda-time,data/raw/joda-time/src/main/java/org/joda/time/LocalTime.java,Property::getField,Property,public,5,14,0,552,565
CJ-005,java,apache/commons-collections,data/raw/commons-collections/src/main/java/org/apache/commons/collections4/multiset/AbstractMapMultiSet.java,AbstractMapMultiSet::add,AbstractMapMultiSet,public,5,17,2,302,320
CJ-006,java,jhy/jsoup,data/raw/jsoup/src/main/java/org/jsoup/parser/Tag.java,Tag::equals,Tag,public,6,9,1,351,359
CJ-007,java,google/gson,data/raw/gson/extras/src/main/java/com/google/gson/typeadapters/PostConstructAdapterFactory.java,PostConstructAdapter::read,PostConstructAdapter,public,5,16,1,58,73
CJ-008,java,apache/commons-cli,data/raw/commons-cli/src/main/java/org/apache/commons/cli/PatternOptionBuilder.java,PatternOptionBuilder::parsePattern,PatternOptionBuilder,public,6,37,1,173,223
CJ-009,java,apache/commons-math,data/raw/commons-math/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/ode/events/EventState.java,EventState::reset,EventState,public,5,12,2,383,397
CJ-010,java,apache/commons-csv,data/raw/commons-csv/src/main/java/org/apache/commons/csv/CSVPrinter.java,CSVPrinter::CSVPrinter,CSVPrinter,public,5,15,2,107,123
CJ-011,java,jfree/jfreechart,data/raw/jfreechart/src/main/java/org/jfree/data/time/Hour.java,Hour::equals,Hour,public,5,16,1,369,384
CJ-012,java,JodaOrg/joda-time,data/raw/joda-time/src/main/java/org/joda/time/chrono/BasicMonthOfYearDateTimeField.java,BasicMonthOfYearDateTimeField::getDifferenceAsLong,BasicMonthOfYearDateTimeField,public,5,27,2,260,299
CJ-013,java,apache/commons-collections,data/raw/commons-collections/src/main/java/org/apache/commons/collections4/map/AbstractHashedMap.java,AbstractHashedMap::containsValue,AbstractHashedMap,public,8,24,1,808,831
CJ-014,java,jhy/jsoup,data/raw/jsoup/src/main/java/org/jsoup/examples/HtmlToPlainText.java,FormattingVisitor::head,FormattingVisitor,public,5,11,2,77,87
CJ-015,java,google/gson,data/raw/gson/gson/src/main/java/com/google/gson/internal/GsonTypes.java,GsonTypes::canonicalize,GsonTypes,public,6,18,1,104,126
CJ-016,java,apache/commons-cli,data/raw/commons-cli/src/main/java/org/apache/commons/cli/help/HelpFormatter.java,HelpFormatter::getTableDefinition,HelpFormatter,public,5,36,1,163,208
CJ-017,java,apache/commons-math,data/raw/commons-math/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/analysis/function/Gaussian.java,Gaussian::value,Gaussian,public,7,32,1,204,248
CJ-018,java,jfree/jfreechart,data/raw/jfreechart/src/main/java/org/jfree/chart/axis/CategoryLabelPositions.java,CategoryLabelPositions::equals,CategoryLabelPositions,public,7,23,1,362,385
CJ-019,java,JodaOrg/joda-time,data/raw/joda-time/src/main/java/org/joda/time/chrono/GJChronology.java,GJChronology::equals,GJChronology,public,5,12,1,422,433
CJ-020,java,apache/commons-collections,data/raw/commons-collections/src/main/java/org/apache/commons/collections4/comparators/FixedOrderComparator.java,FixedOrderComparator::equals,FixedOrderComparator,public,7,13,1,217,229
CJ-021,java,jhy/jsoup,data/raw/jsoup/src/main/java/org/jsoup/nodes/Attributes.java,Attributes::deduplicate,Attributes,public,8,17,1,661,677
CJ-022,java,google/gson,data/raw/gson/gson/src/main/java/com/google/gson/internal/Excluder.java,Excluder::create,Excluder,public,6,34,2,111,156
CJ-023,java,apache/commons-cli,data/raw/commons-cli/src/main/java/org/apache/commons/cli/help/TextHelpAppendable.java,TextHelpAppendable::appendList,TextHelpAppendable,public,5,13,2,216,228
CJ-024,java,apache/commons-math,data/raw/commons-math/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/linear/EigenDecomposition.java,Solver::getInverse,Solver,public,5,19,0,522,542
CJ-025,java,jfree/jfreechart,data/raw/jfreechart/src/main/java/org/jfree/chart/api/RectangleAnchor.java,RectangleAnchor::getAnchorPoint,RectangleAnchor,public,10,36,1,75,110
CJ-026,java,JodaOrg/joda-time,data/raw/joda-time/src/main/java/org/joda/time/base/AbstractDuration.java,AbstractDuration::toString,AbstractDuration,public,5,17,0,206,222
CJ-027,java,apache/commons-collections,data/raw/commons-collections/src/main/java/org/apache/commons/collections4/comparators/ComparatorChain.java,ComparatorChain::equals,ComparatorChain,public,5,14,1,241,254
CJ-028,java,jhy/jsoup,data/raw/jsoup/src/main/java/org/jsoup/nodes/Element.java,Element::hasClass,Element,public,9,16,1,1889,1912
CJ-029,java,google/gson,data/raw/gson/gson/src/main/java/com/google/gson/internal/bind/ObjectTypeAdapter.java,ObjectTypeAdapter::read,ObjectTypeAdapter,public,10,46,1,109,167
CJ-030,java,apache/commons-cli,data/raw/commons-cli/src/main/java/org/apache/commons/cli/Parser.java,Parser::processArgs,Parser,public,7,18,2,217,237
CP-001,python,psf/requests,data/raw/requests/src/requests/utils.py,set_environ,,public,5,14,2,788,807
CP-002,python,pallets/flask,data/raw/flask/src/flask/templating.py,list_templates,DispatchingJinjaLoader,public,5,11,1,108,120
CP-003,python,psf/requests,data/raw/requests/src/requests/utils.py,resolve_proxies,,public,5,16,3,911,939
CP-004,python,psf/requests,data/raw/requests/src/requests/sessions.py,merge_hooks,,public,5,10,3,108,124
CP-005,python,psf/requests,data/raw/requests/src/requests/utils.py,stream_decode_response_unicode,,public,5,14,2,594,610
CP-006,python,psf/requests,data/raw/requests/src/requests/__init__.py,check_compatibility,,public,5,28,3,60,96
CP-007,python,psf/requests,data/raw/requests/src/requests/utils.py,prepend_scheme_if_needed,,public,5,14,2,1040,1067
CP-008,python,psf/requests,data/raw/requests/src/requests/utils.py,get_encoding_from_headers,,public,5,11,1,569,591
CP-009,python,psf/requests,data/raw/requests/src/requests/sessions.py,prepare_request,Session,public,6,28,2,511,555
CP-010,python,psf/requests,data/raw/requests/src/requests/utils.py,is_valid_cidr,,public,6,15,1,763,784
CP-011,python,psf/requests,data/raw/requests/src/requests/models.py,raise_for_status,Response,public,6,19,1,1144,1171
CP-012,python,psf/requests,data/raw/requests/src/requests/utils.py,unquote_unreserved,,public,6,16,1,680,701
CP-013,python,psf/requests,data/raw/requests/src/requests/sessions.py,rebuild_method,SessionRedirectMixin,public,7,11,3,370,392
CP-014,python,psf/requests,data/raw/requests/src/requests/sessions.py,rebuild_proxies,SessionRedirectMixin,public,6,18,3,334,368
CP-015,python,psf/requests,data/raw/requests/src/requests/sessions.py,rebuild_auth,SessionRedirectMixin,public,5,14,3,309,332
CP-016,python,psf/requests,data/raw/requests/src/requests/adapters.py,request_url,HTTPAdapter,public,5,15,3,565,597
CP-017,python,psf/requests,data/raw/requests/src/requests/cookies.py,morsel_to_cookie,,public,5,25,1,531,557
CP-018,python,psf/requests,data/raw/requests/src/requests/models.py,register_hook,RequestHooksMixin,public,6,11,3,257,270
CP-019,python,psf/requests,data/raw/requests/src/requests/cookies.py,merge_cookies,,public,6,14,2,604,625
CP-020,python,psf/requests,data/raw/requests/src/requests/hooks.py,dispatch_hook,,public,6,16,4,32,48
CP-021,python,psf/requests,data/raw/requests/src/requests/utils.py,get_unicode_from_response,,public,6,22,1,633,671
