func_id,language,source_repo,file,func_name,class_path,visibility,cc,nloc,params,start_line,end_line,class_path,qualname,is_method,receiver_kind,module_or_package,visibility,param_types,import_hint,enrich_note
CJ-001,java,jfree/jfreechart,data/raw/jfreechart/src/main/java/org/jfree/chart/plot/compass/MeterNeedle.java,MeterNeedle::equals,MeterNeedle,public,10,31,1,339,369,MeterNeedle,org.jfree.chart.plot.compass.MeterNeedle.equals,yes,instance,org.jfree.chart.plot.compass,public,Object,"import org.jfree.chart.plot.compass.MeterNeedle;  // construct MeterNeedle, then instance.equals(Object)",
CJ-002,java,apache/commons-math,data/raw/commons-math/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/linear/BlockRealMatrix.java,BlockRealMatrix::transpose,BlockRealMatrix,public,5,28,0,1210,1242,BlockRealMatrix,org.apache.commons.math4.legacy.linear.BlockRealMatrix.transpose,yes,instance,org.apache.commons.math4.legacy.linear,public,,"import org.apache.commons.math4.legacy.linear.BlockRealMatrix;  // construct BlockRealMatrix, then instance.transpose()",
CJ-003,java,JodaOrg/joda-time,data/raw/joda-time/src/main/java/org/joda/time/DateTimeComparator.java,DateTimeComparator::equals,DateTimeComparator,public,7,10,1,242,251,DateTimeComparator,org.joda.time.DateTimeComparator.equals,yes,instance,org.joda.time,public,Object,"import org.joda.time.DateTimeComparator;  // construct DateTimeComparator, then instance.equals(Object)",
CJ-004,java,apache/commons-cli,data/raw/commons-cli/src/main/java/org/apache/commons/cli/PatternOptionBuilder.java,PatternOptionBuilder::isValueCode,PatternOptionBuilder,public,10,3,1,163,165,PatternOptionBuilder,org.apache.commons.cli.PatternOptionBuilder.isValueCode,yes,static,org.apache.commons.cli,public,char,import org.apache.commons.cli.PatternOptionBuilder;  // call PatternOptionBuilder.isValueCode(char),
CJ-005,java,apache/commons-collections,data/raw/commons-collections/src/main/java/org/apache/commons/collections4/map/AbstractLinkedMap.java,AbstractLinkedMap::containsValue,AbstractLinkedMap,public,6,16,1,464,480,AbstractLinkedMap,org.apache.commons.collections4.map.AbstractLinkedMap.containsValue,yes,instance,org.apache.commons.collections4.map,public,Object,"import org.apache.commons.collections4.map.AbstractLinkedMap;  // construct AbstractLinkedMap, then instance.containsValue(Object)",
CJ-006,java,google/gson,data/raw/gson/gson/src/main/java/com/google/gson/internal/bind/MapTypeAdapterFactory.java,Adapter::read,MapTypeAdapterFactory.Adapter,public,7,35,1,176,212,MapTypeAdapterFactory.Adapter,com.google.gson.internal.bind.MapTypeAdapterFactory.Adapter.read,yes,instance,com.google.gson.internal.bind,public,JsonReader,import com.google.gson.internal.bind.MapTypeAdapterFactory;  // TARGET IS NESTED: MapTypeAdapterFactory.Adapter.read(JsonReader) — NOT MapTypeAdapterFactory.read(JsonReader),nested-class
CJ-007,java,jhy/jsoup,data/raw/jsoup/src/main/java/org/jsoup/nodes/Attribute.java,Attribute::equals,Attribute,public,5,6,1,323,328,Attribute,org.jsoup.nodes.Attribute.equals,yes,instance,org.jsoup.nodes,public,Object,"import org.jsoup.nodes.Attribute;  // construct Attribute, then instance.equals(Object)",
CJ-008,java,apache/commons-csv,data/raw/commons-csv/src/main/java/org/apache/commons/csv/ExtendedBufferedReader.java,ExtendedBufferedReader::readLine,ExtendedBufferedReader,public,8,20,0,261,280,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader.readLine,yes,instance,org.apache.commons.csv,public,,"import org.apache.commons.csv.ExtendedBufferedReader;  // construct ExtendedBufferedReader, then instance.readLine()",
CJ-009,java,jfree/jfreechart,data/raw/jfreechart/src/main/java/org/jfree/chart/title/CompositeTitle.java,CompositeTitle::equals,CompositeTitle,public,5,16,1,201,216,CompositeTitle,org.jfree.chart.title.CompositeTitle.equals,yes,instance,org.jfree.chart.title,public,Object,"import org.jfree.chart.title.CompositeTitle;  // construct CompositeTitle, then instance.equals(Object)",
CJ-010,java,apache/commons-math,data/raw/commons-math/commons-math-legacy-core/src/main/java/org/apache/commons/math4/legacy/core/dfp/Dfp.java,Dfp::equals,Dfp,public,5,10,1,895,907,Dfp,org.apache.commons.math4.legacy.core.dfp.Dfp.equals,yes,instance,org.apache.commons.math4.legacy.core.dfp,public,Object,"import org.apache.commons.math4.legacy.core.dfp.Dfp;  // construct Dfp, then instance.equals(Object)",
