func_id,language,source_repo,file,func_name,cc,nloc,params,start_line,end_line,raw_source_path
JA-001,java,JodaOrg/joda-time,data-research/raw/joda-time/src/main/java/org/joda/time/DateTimeComparator.java,DateTimeComparator::toString,5,13,0,270,282,data-research/java_functions/JA-001.java
JA-002,java,apache/commons-cli,data-research/raw/commons-cli/src/main/java/org/apache/commons/cli/CommandLine.java,Builder::getOptionValues,5,15,1,501,515,data-research/java_functions/JA-002.java
JA-003,java,apache/commons-collections,data-research/raw/commons-collections/src/main/java/org/apache/commons/collections4/CollectionUtils.java,SetOperationCardinalityHelper::filter,5,12,2,840,851,data-research/java_functions/JA-003.java
JA-004,java,apache/commons-csv,data-research/raw/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java,Predefined::isDelimiter,5,15,5,2084,2098,data-research/java_functions/JA-004.java
JA-005,java,apache/commons-math,data-research/raw/commons-math/commons-math-core/src/main/java/org/apache/commons/math4/core/jdkmath/AccurateMath.java,Split::cbrt,5,49,1,2890,2967,data-research/java_functions/JA-005.java
JA-006,java,google/gson,data-research/raw/gson/extras/src/main/java/com/google/gson/typeadapters/PostConstructAdapterFactory.java,PostConstructAdapterFactory::create,5,14,2,33,46,data-research/java_functions/JA-006.java
JA-007,java,jfree/jfreechart,data-research/raw/jfreechart/src/main/java/org/jfree/chart/ChartFactory.java,ChartFactory::createBarChart,5,39,8,588,630,data-research/java_functions/JA-007.java
JA-008,java,jhy/jsoup,data-research/raw/jsoup/src/main/java/org/jsoup/examples/HtmlToPlainText.java,HtmlToPlainText::main,5,20,1,33,55,data-research/java_functions/JA-008.java
JA-009,java,JodaOrg/joda-time,data-research/raw/joda-time/src/main/java/org/joda/time/DateTimeZone.java,DateTimeZone::validateProvider,5,13,1,503,515,data-research/java_functions/JA-009.java
JA-010,java,apache/commons-cli,data-research/raw/commons-cli/src/main/java/org/apache/commons/cli/CommandLine.java,Builder::getParsedOptionValues,5,19,2,802,820,data-research/java_functions/JA-010.java
JA-011,java,JodaOrg/joda-time,data-research/raw/joda-time/src/main/java/org/joda/time/DateTimeComparator.java,DateTimeComparator::compare,6,26,2,191,223,data-research/java_functions/JA-011.java
JA-012,java,apache/commons-cli,data-research/raw/commons-cli/src/main/java/org/apache/commons/cli/DefaultParser.java,NonOptionAction::handleLongOptionWithEqual,6,21,1,448,468,data-research/java_functions/JA-012.java
JA-013,java,apache/commons-collections,data-research/raw/commons-collections/src/main/java/org/apache/commons/collections4/ArrayStack.java,ArrayStack::search,6,14,1,151,164,data-research/java_functions/JA-013.java
JA-014,java,apache/commons-csv,data-research/raw/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java,Predefined::printWithQuotes,6,17,2,2557,2576,data-research/java_functions/JA-014.java
JA-015,java,apache/commons-math,data-research/raw/commons-math/commons-math-core/src/main/java/org/apache/commons/math4/core/jdkmath/AccurateMath.java,AccurateMath::log1p,6,24,1,1361,1391,data-research/java_functions/JA-015.java
JA-016,java,google/gson,data-research/raw/gson/extras/src/main/java/com/google/gson/typeadapters/UtcDateTypeAdapter.java,UtcDateTypeAdapter::format,6,35,3,75,114,data-research/java_functions/JA-016.java
JA-017,java,jfree/jfreechart,data-research/raw/jfreechart/src/main/java/org/jfree/chart/ChartHints.java,Key::isCompatibleValue,6,11,1,90,100,data-research/java_functions/JA-017.java
JA-018,java,jhy/jsoup,data-research/raw/jsoup/src/main/java/org/jsoup/helper/DataUtil.java,DataUtil::openStream,6,16,1,154,169,data-research/java_functions/JA-018.java
JA-019,java,JodaOrg/joda-time,data-research/raw/joda-time/src/main/java/org/joda/time/DateTimeUtils.java,DateTimeUtils::isContiguous,6,16,1,349,364,data-research/java_functions/JA-019.java
JA-020,java,apache/commons-cli,data-research/raw/commons-cli/src/main/java/org/apache/commons/cli/HelpFormatter.java,OptionComparator::appendOptionGroup,6,18,2,391,410,data-research/java_functions/JA-020.java
JA-021,java,JodaOrg/joda-time,data-research/raw/joda-time/src/main/java/org/joda/time/DateTimeComparator.java,DateTimeComparator::getInstance,7,12,2,105,116,data-research/java_functions/JA-021.java
JA-022,java,apache/commons-cli,data-research/raw/commons-cli/src/main/java/org/apache/commons/cli/DefaultParser.java,NonOptionAction::handleConcatenatedOptions,7,14,1,408,422,data-research/java_functions/JA-022.java
JA-023,java,apache/commons-collections,data-research/raw/commons-collections/src/main/java/org/apache/commons/collections4/CollectionUtils.java,SetOperationCardinalityHelper::collate,7,23,4,469,493,data-research/java_functions/JA-023.java
JA-024,java,apache/commons-csv,data-research/raw/commons-csv/src/main/java/org/apache/commons/csv/Lexer.java,Lexer::parseSimpleToken,7,28,2,419,450,data-research/java_functions/JA-024.java
JA-025,java,apache/commons-math,data-research/raw/commons-math/commons-math-core/src/main/java/org/apache/commons/math4/core/jdkmath/AccurateMath.java,AccurateMath::cosh,7,45,1,382,445,data-research/java_functions/JA-025.java
JA-026,java,google/gson,data-research/raw/gson/gson/src/main/java/com/google/gson/Gson.java,Gson::getDelegateAdapter,7,25,2,472,501,data-research/java_functions/JA-026.java
JA-027,java,jfree/jfreechart,data-research/raw/jfreechart/src/main/java/org/jfree/chart/JFreeChart.java,JFreeChart::createAlignedRectangle2D,7,36,4,1140,1176,data-research/java_functions/JA-027.java
JA-028,java,jhy/jsoup,data-research/raw/jsoup/src/main/java/org/jsoup/helper/RequestDispatch.java,RequestDispatch::get,7,17,2,33,51,data-research/java_functions/JA-028.java
JA-029,java,JodaOrg/joda-time,data-research/raw/joda-time/src/main/java/org/joda/time/DateTimeComparator.java,DateTimeComparator::equals,7,10,1,242,251,data-research/java_functions/JA-029.java
JA-030,java,apache/commons-cli,data-research/raw/commons-cli/src/main/java/org/apache/commons/cli/DefaultParser.java,NonOptionAction::isShortOption,7,11,1,727,740,data-research/java_functions/JA-030.java
JA-031,java,JodaOrg/joda-time,data-research/raw/joda-time/src/main/java/org/joda/time/DateTimeZone.java,DateTimeZone::getDefault,8,25,0,164,190,data-research/java_functions/JA-031.java
JA-032,java,apache/commons-cli,data-research/raw/commons-cli/src/main/java/org/apache/commons/cli/DefaultParser.java,NonOptionAction::isLongOption,8,14,1,682,697,data-research/java_functions/JA-032.java
JA-033,java,apache/commons-collections,data-research/raw/commons-collections/src/main/java/org/apache/commons/collections4/ArrayUtils.java,ArrayUtils::indexOf,8,22,3,72,93,data-research/java_functions/JA-033.java
JA-034,java,apache/commons-csv,data-research/raw/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java,Predefined::trim,8,15,1,1537,1552,data-research/java_functions/JA-034.java
JA-035,java,apache/commons-math,data-research/raw/commons-math/commons-math-core/src/main/java/org/apache/commons/math4/core/jdkmath/AccurateMath.java,AccurateMath::tanh,8,74,1,575,692,data-research/java_functions/JA-035.java
JA-036,java,google/gson,data-research/raw/gson/extras/src/main/java/com/google/gson/typeadapters/UtcDateTypeAdapter.java,UtcDateTypeAdapter::parseInt,8,25,3,255,280,data-research/java_functions/JA-036.java
JA-037,java,jfree/jfreechart,data-research/raw/jfreechart/src/main/java/org/jfree/chart/JFreeChart.java,JFreeChart::drawTitle,8,69,4,1192,1261,data-research/java_functions/JA-037.java
JA-038,java,jhy/jsoup,data-research/raw/jsoup/src/main/java/org/jsoup/nodes/Attributes.java,Attributes::equals,8,14,1,587,601,data-research/java_functions/JA-038.java
JA-039,java,JodaOrg/joda-time,data-research/raw/joda-time/src/main/java/org/joda/time/Period.java,Period::fieldDifference,8,21,2,259,279,data-research/java_functions/JA-039.java
