func_id,language,source_repo,file,func_name,cc,nloc,params,start_line,end_line,raw_source_path,class_path,qualname,is_method,receiver_kind,module_or_package,visibility,param_types,import_hint,enrich_note,ctor_signature,ctor_snippet,ctor_verified,needs_context,ctor_note
JA-001,java,JodaOrg/joda-time,data-research/raw/joda-time/src/main/java/org/joda/time/DateTimeComparator.java,DateTimeComparator::toString,5,13,0,270,282,data-research/java_functions/JA-001.java,DateTimeComparator,org.joda.time.DateTimeComparator.toString,yes,instance,org.joda.time,public,,"import org.joda.time.DateTimeComparator;  // construct DateTimeComparator, then instance.toString()",,,,,,khong phai method
JA-002,java,apache/commons-cli,data-research/raw/commons-cli/src/main/java/org/apache/commons/cli/CommandLine.java,Builder::getOptionValues,5,15,1,501,515,data-research/java_functions/JA-002.java,CommandLine,org.apache.commons.cli.CommandLine.getOptionValues,yes,instance,org.apache.commons.cli,public,Option,"import org.apache.commons.cli.CommandLine;  // construct CommandLine, then instance.getOptionValues(Option)",,,,,,khong phai method
JA-003,java,apache/commons-collections,data-research/raw/commons-collections/src/main/java/org/apache/commons/collections4/CollectionUtils.java,SetOperationCardinalityHelper::filter,5,12,2,840,851,data-research/java_functions/JA-003.java,CollectionUtils,org.apache.commons.collections4.CollectionUtils.filter,yes,static,org.apache.commons.collections4,public,"Iterable,Predicate","import org.apache.commons.collections4.CollectionUtils;  // call CollectionUtils.filter(Iterable, Predicate)",,,,,,khong phai method
JA-004,java,apache/commons-csv,data-research/raw/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java,Predefined::isDelimiter,5,15,5,2084,2098,data-research/java_functions/JA-004.java,CSVFormat,org.apache.commons.csv.CSVFormat.isDelimiter,yes,instance,org.apache.commons.csv,private,"char,CharSequence,int,char,int","import org.apache.commons.csv.CSVFormat;  // construct CSVFormat, then instance.isDelimiter(char, CharSequence, int, char, int)",,,,,,khong phai method
JA-005,java,apache/commons-math,data-research/raw/commons-math/commons-math-core/src/main/java/org/apache/commons/math4/core/jdkmath/AccurateMath.java,Split::cbrt,5,49,1,2890,2967,data-research/java_functions/JA-005.java,AccurateMath,org.apache.commons.math4.core.jdkmath.AccurateMath.cbrt,yes,static,org.apache.commons.math4.core.jdkmath,public,double,import org.apache.commons.math4.core.jdkmath.AccurateMath;  // call AccurateMath.cbrt(double),,,,,,khong phai method
JA-006,java,google/gson,data-research/raw/gson/extras/src/main/java/com/google/gson/typeadapters/PostConstructAdapterFactory.java,PostConstructAdapterFactory::create,5,14,2,33,46,data-research/java_functions/JA-006.java,PostConstructAdapterFactory,com.google.gson.typeadapters.PostConstructAdapterFactory.create,yes,instance,com.google.gson.typeadapters,public,"Gson,TypeToken","import com.google.gson.typeadapters.PostConstructAdapterFactory;  // construct PostConstructAdapterFactory, then instance.create(Gson, TypeToken)",,,,,,khong phai method
JA-007,java,jfree/jfreechart,data-research/raw/jfreechart/src/main/java/org/jfree/chart/ChartFactory.java,ChartFactory::createBarChart,5,39,8,588,630,data-research/java_functions/JA-007.java,ChartFactory,org.jfree.chart.ChartFactory.createBarChart,yes,static,org.jfree.chart,public,"String,String,String,CategoryDataset,PlotOrientation,boolean,boolean,boolean","import org.jfree.chart.ChartFactory;  // call ChartFactory.createBarChart(String, String, String, CategoryDataset, PlotOrientation, boolean, boolean, boolean)",,,,,,khong phai method
JA-008,java,jhy/jsoup,data-research/raw/jsoup/src/main/java/org/jsoup/examples/HtmlToPlainText.java,HtmlToPlainText::main,5,20,1,33,55,data-research/java_functions/JA-008.java,HtmlToPlainText,org.jsoup.examples.HtmlToPlainText.main,yes,static,org.jsoup.examples,public,String...,import org.jsoup.examples.HtmlToPlainText;  // call HtmlToPlainText.main(String...),,,,,,khong phai method
JA-009,java,JodaOrg/joda-time,data-research/raw/joda-time/src/main/java/org/joda/time/DateTimeZone.java,DateTimeZone::validateProvider,5,13,1,503,515,data-research/java_functions/JA-009.java,DateTimeZone,org.joda.time.DateTimeZone.validateProvider,yes,static,org.joda.time,private,Provider,import org.joda.time.DateTimeZone;  // call DateTimeZone.validateProvider(Provider),,,,,,khong phai method
JA-010,java,apache/commons-cli,data-research/raw/commons-cli/src/main/java/org/apache/commons/cli/CommandLine.java,Builder::getParsedOptionValues,5,19,2,802,820,data-research/java_functions/JA-010.java,CommandLine,org.apache.commons.cli.CommandLine.getParsedOptionValues,yes,instance,org.apache.commons.cli,public,"Option,Supplier","import org.apache.commons.cli.CommandLine;  // construct CommandLine, then instance.getParsedOptionValues(Option, Supplier)",,,,,,khong phai method
JA-011,java,JodaOrg/joda-time,data-research/raw/joda-time/src/main/java/org/joda/time/DateTimeComparator.java,DateTimeComparator::compare,6,26,2,191,223,data-research/java_functions/JA-011.java,DateTimeComparator,org.joda.time.DateTimeComparator.compare,yes,instance,org.joda.time,public,"Object,Object","import org.joda.time.DateTimeComparator;  // construct DateTimeComparator, then instance.compare(Object, Object)",,,,,,khong phai method
JA-012,java,apache/commons-cli,data-research/raw/commons-cli/src/main/java/org/apache/commons/cli/DefaultParser.java,NonOptionAction::handleLongOptionWithEqual,6,21,1,448,468,data-research/java_functions/JA-012.java,DefaultParser,org.apache.commons.cli.DefaultParser.handleLongOptionWithEqual,yes,instance,org.apache.commons.cli,private,String,"import org.apache.commons.cli.DefaultParser;  // construct DefaultParser, then instance.handleLongOptionWithEqual(String)",,,,,,khong phai method
JA-013,java,apache/commons-collections,data-research/raw/commons-collections/src/main/java/org/apache/commons/collections4/ArrayStack.java,ArrayStack::search,6,14,1,151,164,data-research/java_functions/JA-013.java,ArrayStack,org.apache.commons.collections4.ArrayStack.search,yes,instance,org.apache.commons.collections4,public,Object,"import org.apache.commons.collections4.ArrayStack;  // construct ArrayStack, then instance.search(Object)",,,,,,khong phai method
JA-014,java,apache/commons-csv,data-research/raw/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java,Predefined::printWithQuotes,6,17,2,2557,2576,data-research/java_functions/JA-014.java,CSVFormat,org.apache.commons.csv.CSVFormat.printWithQuotes,yes,instance,org.apache.commons.csv,private,"Reader,Appendable","import org.apache.commons.csv.CSVFormat;  // construct CSVFormat, then instance.printWithQuotes(Reader, Appendable)",,,,,,khong phai method
JA-015,java,apache/commons-math,data-research/raw/commons-math/commons-math-core/src/main/java/org/apache/commons/math4/core/jdkmath/AccurateMath.java,AccurateMath::log1p,6,24,1,1361,1391,data-research/java_functions/JA-015.java,AccurateMath,org.apache.commons.math4.core.jdkmath.AccurateMath.log1p,yes,static,org.apache.commons.math4.core.jdkmath,public,double,import org.apache.commons.math4.core.jdkmath.AccurateMath;  // call AccurateMath.log1p(double),,,,,,khong phai method
JA-016,java,google/gson,data-research/raw/gson/extras/src/main/java/com/google/gson/typeadapters/UtcDateTypeAdapter.java,UtcDateTypeAdapter::format,6,35,3,75,114,data-research/java_functions/JA-016.java,UtcDateTypeAdapter,com.google.gson.typeadapters.UtcDateTypeAdapter.format,yes,static,com.google.gson.typeadapters,private,"Date,boolean,TimeZone","import com.google.gson.typeadapters.UtcDateTypeAdapter;  // call UtcDateTypeAdapter.format(Date, boolean, TimeZone)",,,,,,khong phai method
JA-017,java,jfree/jfreechart,data-research/raw/jfreechart/src/main/java/org/jfree/chart/ChartHints.java,Key::isCompatibleValue,6,11,1,90,100,data-research/java_functions/JA-017.java,ChartHints.Key,org.jfree.chart.ChartHints.Key.isCompatibleValue,yes,instance,org.jfree.chart,public,Object,import org.jfree.chart.ChartHints;  // TARGET IS NESTED: ChartHints.Key.isCompatibleValue(Object) — NOT ChartHints.isCompatibleValue(Object),nested-class,,,,,khong phai method
