func_id,language,source_repo,file,func_name,cc,nloc,params,start_line,end_line,raw_source_path
HJ-001,java,jfree/jfreechart,data/raw/jfreechart/src/main/java/org/jfree/chart/plot/FastScatterPlot.java,FastScatterPlot::calculateXDataRange,6,20,1,673,696,data-research/java_functions/HJ-001.java
HJ-002,java,apache/commons-math,data/raw/commons-math/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/linear/MatrixUtils.java,MatrixUtils::checkSubMatrixIndex,7,23,3,547,570,data-research/java_functions/HJ-002.java
HJ-003,java,jhy/jsoup,data/raw/jsoup/src/main/java/org/jsoup/parser/HtmlTreeBuilderState.java,HtmlTreeBuilderState::process,7,22,2,26,50,data-research/java_functions/HJ-003.java
HJ-004,java,JodaOrg/joda-time,data/raw/joda-time/src/main/java/org/joda/time/format/DateTimeFormatterBuilder.java,Fraction::parseInto,6,30,3,1918,1955,data-research/java_functions/HJ-004.java
HJ-005,java,google/gson,data/raw/gson/metrics/src/main/java/com/google/gson/metrics/CollectionsDeserializationBenchmark.java,CollectionsDeserializationBenchmark::timeCollectionsStreaming,8,37,1,65,101,data-research/java_functions/HJ-005.java
HJ-006,java,apache/commons-cli,data/raw/commons-cli/src/main/java/org/apache/commons/cli/help/AbstractHelpFormatter.java,Builder::toSyntaxOptions,5,17,1,467,485,data-research/java_functions/HJ-006.java
HJ-007,java,apache/commons-collections,data/raw/commons-collections/src/main/java/org/apache/commons/collections4/trie/AbstractPatriciaTrie.java,TrieEntry::toString,10,50,0,1049,1106,data-research/java_functions/HJ-007.java
HJ-008,java,apache/commons-csv,data/raw/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java,Headers::handleNull,8,9,1,804,814,data-research/java_functions/HJ-008.java
HJ-009,java,jfree/jfreechart,data/raw/jfreechart/src/main/java/org/jfree/chart/renderer/xy/XYLineAndShapeRenderer.java,State::drawPrimaryLineAsPath,6,33,10,865,904,data-research/java_functions/HJ-009.java
HJ-010,java,apache/commons-math,data/raw/commons-math/commons-math-legacy-core/src/main/java/org/apache/commons/math4/legacy/core/dfp/Dfp.java,Dfp::Dfp,9,47,2,256,316,data-research/java_functions/HJ-010.java
HJ-011,java,jhy/jsoup,data/raw/jsoup/src/main/java/org/jsoup/parser/TokeniserState.java,TokeniserState::read,10,36,2,1267,1304,data-research/java_functions/HJ-011.java
HJ-012,java,JodaOrg/joda-time,data/raw/joda-time/src/main/java/org/joda/time/chrono/GJChronology.java,GJChronology::getDateTimeMillis,8,37,7,354,394,data-research/java_functions/HJ-012.java
HJ-013,java,google/gson,data/raw/gson/gson/src/main/java/com/google/gson/internal/bind/MapTypeAdapterFactory.java,Adapter::keyToString,6,18,1,262,279,data-research/java_functions/HJ-013.java
HJ-014,java,apache/commons-cli,data/raw/commons-cli/src/main/java/org/apache/commons/cli/help/TextHelpAppendable.java,TextHelpAppendable::appendList,5,13,2,216,228,data-research/java_functions/HJ-014.java
