func_id,language,source_repo,file,func_name,cc,nloc,params,start_line,end_line,raw_source_path
JA-002,java,apache/commons-cli,data-research/raw/commons-cli/src/main/java/org/apache/commons/cli/CommandLine.java,Builder::getOptionValues,5,15,1,501,515,data-research/java_functions/JA-002.java
JA-010,java,apache/commons-cli,data-research/raw/commons-cli/src/main/java/org/apache/commons/cli/CommandLine.java,Builder::getParsedOptionValues,5,19,2,802,820,data-research/java_functions/JA-010.java
JA-012,java,apache/commons-cli,data-research/raw/commons-cli/src/main/java/org/apache/commons/cli/DefaultParser.java,NonOptionAction::handleLongOptionWithEqual,6,21,1,448,468,data-research/java_functions/JA-012.java
JA-020,java,apache/commons-cli,data-research/raw/commons-cli/src/main/java/org/apache/commons/cli/HelpFormatter.java,OptionComparator::appendOptionGroup,6,18,2,391,410,data-research/java_functions/JA-020.java
JA-022,java,apache/commons-cli,data-research/raw/commons-cli/src/main/java/org/apache/commons/cli/DefaultParser.java,NonOptionAction::handleConcatenatedOptions,7,14,1,408,422,data-research/java_functions/JA-022.java
JA-030,java,apache/commons-cli,data-research/raw/commons-cli/src/main/java/org/apache/commons/cli/DefaultParser.java,NonOptionAction::isShortOption,7,11,1,727,740,data-research/java_functions/JA-030.java
JA-032,java,apache/commons-cli,data-research/raw/commons-cli/src/main/java/org/apache/commons/cli/DefaultParser.java,NonOptionAction::isLongOption,8,14,1,682,697,data-research/java_functions/JA-032.java
JA-040,java,apache/commons-cli,data-research/raw/commons-cli/src/main/java/org/apache/commons/cli/HelpFormatter.java,OptionComparator::appendWrappedText,8,29,4,507,537,data-research/java_functions/JA-040.java
JA-042,java,apache/commons-cli,data-research/raw/commons-cli/src/main/java/org/apache/commons/cli/DefaultParser.java,NonOptionAction::handleUnknownToken,9,12,1,646,657,data-research/java_functions/JA-042.java
JA-050,java,apache/commons-cli,data-research/raw/commons-cli/src/main/java/org/apache/commons/cli/HelpFormatter.java,OptionComparator::appendOption,9,17,3,363,381,data-research/java_functions/JA-050.java
JA-052,java,apache/commons-cli,data-research/raw/commons-cli/src/main/java/org/apache/commons/cli/PatternOptionBuilder.java,PatternOptionBuilder::getValueType,10,23,1,132,155,data-research/java_functions/JA-052.java
JA-060,java,apache/commons-cli,data-research/raw/commons-cli/src/main/java/org/apache/commons/cli/PatternOptionBuilder.java,PatternOptionBuilder::isValueCode,10,3,1,163,165,data-research/java_functions/JA-060.java
PY-001,python,pallets/flask,data/raw/flask/src/flask/app.py,raise_routing_exception,5,10,2,562,588,data-research/python_functions/PY-001.py
PY-002,python,pallets/flask,data/raw/flask/src/flask/app.py,update_template_context,5,12,3,590,618,data-research/python_functions/PY-002.py
PY-011,python,pallets/flask,data/raw/flask/src/flask/app.py,handle_exception,6,17,3,897,948,data-research/python_functions/PY-011.py
PY-012,python,pallets/flask,data/raw/flask/src/flask/app.py,process_response,6,10,3,1394,1418,data-research/python_functions/PY-012.py
PY-021,python,pallets/flask,data/raw/flask/src/flask/app.py,create_url_adapter,7,21,2,509,560,data-research/python_functions/PY-021.py
PY-022,python,pallets/flask,data/raw/flask/src/flask/app.py,handle_user_exception,7,13,3,865,895,data-research/python_functions/PY-022.py
PY-031,python,pallets/flask,data/raw/flask/src/flask/app.py,preprocess_request,8,14,2,1366,1392,data-research/python_functions/PY-031.py
PY-032,python,pallets/flask,data/raw/flask/src/flask/app.py,wsgi_app,8,26,3,1566,1616,data-research/python_functions/PY-032.py
PY-040,python,pallets/flask,data/raw/flask/src/flask/cli.py,_validate_key,9,27,3,828,864,data-research/python_functions/PY-040.py
PY-041,python,pallets/flask,data/raw/flask/src/flask/helpers.py,get_root_path,9,30,1,587,641,data-research/python_functions/PY-041.py
PY-046,python,pallets/flask,data/raw/flask/src/flask/app.py,__init_subclass__,10,42,2,254,308,data-research/python_functions/PY-046.py
PY-047,python,pallets/flask,data/raw/flask/src/flask/sansio/scaffold.py,_find_package_path,10,27,1,709,751,data-research/python_functions/PY-047.py
