func_id,language,cc,source_repo,visibility,receiver_kind,paper_compiled,paper_branch_cov,paper_mutation,jv_T1_compile_v1,jv_T1_compile_v4,jv_err_v1,jv_err_v4,jv_fixed_by_import,jv_T2_ntest_v1,jv_T2_ntest_v4,jv_T4_mut_v1,jv_T4_mut_v4,py_T2_pass_v1,py_T2_pass_v2,py_T2_pass_v3,py_T2_pass_final,py_cause_v1,py_cause_v3,py_T3_cov_v1,py_T3_cov_best,py_T4_mut_v1,py_T4_mut_best
JA-001,java,5,JodaOrg/joda-time,public,instance,1,0.0,0.0,0,0,sai-kieu,khac,0,0,0,,,,,,,,,,,,
JA-002,java,5,apache/commons-cli,public,instance,1,0.0,0.0,0,0,overload-nhap-nhang,overload-nhap-nhang,0,0,0,,,,,,,,,,,,
JA-003,java,5,apache/commons-collections,public,static,1,0.0,0.0,0,0,khac,sai-tham-so,0,0,0,,,,,,,,,,,,
JA-004,java,5,apache/commons-csv,private,instance,1,0.0,0.0,0,0,sai-constructor,sai-constructor,0,0,0,,,,,,,,,,,,
JA-005,java,5,apache/commons-math,public,static,0,0.0,0.0,1,1,,,,8,9,70.0,80.0,,,,,,,,,,
JA-006,java,5,google/gson,public,instance,1,0.0,0.0,0,0,khac,khac,1,0,0,,,,,,,,,,,,
JA-007,java,5,jfree/jfreechart,public,static,1,87.5,0.0,1,0,,khac,,5,0,0.0,,,,,,,,,,,
JA-008,java,5,jhy/jsoup,public,static,1,0.0,0.0,0,1,khac,,0,0,0,,,,,,,,,,,,
JA-009,java,5,JodaOrg/joda-time,private,static,1,50.0,0.0,0,0,sai-kieu,khac,0,0,0,,,,,,,,,,,,
JA-010,java,5,apache/commons-cli,public,instance,1,0.0,0.0,0,0,overload-nhap-nhang,overload-nhap-nhang,0,0,0,,,,,,,,,,,,
JA-011,java,6,JodaOrg/joda-time,public,instance,1,0.0,0.0,1,0,,khac,,9,0,,,,,,,,,,,,
JA-012,java,6,apache/commons-cli,private,instance,1,0.0,0.0,0,1,khac,,0,0,3,,,,,,,,,,,,
JA-013,java,6,apache/commons-collections,public,instance,1,0.0,,1,1,,,,6,8,100.0,88.89,,,,,,,,,,
JA-014,java,6,apache/commons-csv,private,instance,1,0.0,0.0,0,0,sai-kieu,khac,0,0,0,,,,,,,,,,,,
JA-015,java,6,apache/commons-math,public,static,0,0.0,0.0,1,1,,,,7,6,,65.0,,,,,,,,,,
JA-016,java,6,google/gson,private,static,1,0.0,0.0,0,1,khac,,0,0,6,,,,,,,,,,,,
JA-017,java,6,jfree/jfreechart,public,instance,1,0.0,,0,1,khac,,0,0,9,,,,,,,,,,,,
JA-018,java,6,jhy/jsoup,private,static,1,0.0,0.0,0,0,khac,khac,0,0,0,,,,,,,,,,,,
JA-019,java,6,JodaOrg/joda-time,public,static,1,0.0,0.0,1,0,,thieu-override,,3,0,,,,,,,,,,,,
JA-020,java,6,apache/commons-cli,private,instance,1,0.0,0.0,0,0,sai-constructor,khac,0,0,0,,,,,,,,,,,,
JA-021,java,7,JodaOrg/joda-time,public,static,1,0.0,0.0,0,0,truy-cap-private,truy-cap-private,0,0,0,,,,,,,,,,,,
JA-022,java,7,apache/commons-cli,protected,instance,1,0.0,0.0,0,1,khac,,0,0,6,,,,,,,,,,,,
JA-023,java,7,apache/commons-collections,public,static,1,0.0,0.0,0,1,khac,,0,0,8,,50.0,,,,,,,,,,
JA-024,java,7,apache/commons-csv,private,instance,1,0.0,0.0,0,0,sai-constructor,khac,0,0,0,,,,,,,,,,,,
JA-025,java,7,apache/commons-math,public,static,0,0.0,0.0,1,1,,,,8,9,,,,,,,,,,,,
JA-026,java,7,google/gson,public,instance,0,0.0,0.0,0,0,truy-cap-private,khac,0,0,0,,,,,,,,,,,,
JA-027,java,7,jfree/jfreechart,private,instance,1,0.0,0.0,0,0,khac,khac,0,0,0,,,,,,,,,,,,
JA-028,java,7,jhy/jsoup,package-private,static,1,0.0,0.0,0,0,sai-kieu,thieu-package,0,0,0,,,,,,,,,,,,
JA-029,java,7,JodaOrg/joda-time,public,instance,1,0.0,0.0,0,0,sai-constructor,khac,0,0,0,,,,,,,,,,,,
JA-030,java,7,apache/commons-cli,private,instance,1,0.0,0.0,0,1,khac,,0,0,7,,100.0,,,,,,,,,,
JA-031,java,8,JodaOrg/joda-time,public,static,1,50.0,0.0,1,1,,,,5,5,,,,,,,,,,,,
JA-032,java,8,apache/commons-cli,private,instance,1,0.0,0.0,0,0,khac,khac,0,0,0,,,,,,,,,,,,
JA-033,java,8,apache/commons-collections,package-private,static,1,0.0,,1,1,,,,7,7,,100.0,,,,,,,,,,
