function_id,language,cc,method,branch_coverage,mutation_score,compiled,note
PY-017,python,6,pynguin,0,,0,pynguin-no-output
PY-026,python,7,pynguin,0,,0,pynguin-no-output
PY-055,python,5,pynguin,0,,0,pynguin-no-output
PY-056,python,5,pynguin,0,,0,pynguin-no-output
PY-018,python,6,pynguin,0,,0,pynguin-no-output
PY-019,python,6,pynguin,0,,0,pynguin-no-output
PY-057,python,5,pynguin,0,,0,pynguin-no-output
PY-020,python,6,pynguin,0,,0,pynguin-no-output
PY-047,python,10,pynguin,0,,0,pynguin-no-output
PY-058,python,5,pynguin,0,,0,pynguin-no-output
PY-059,python,5,pynguin,0,,0,pynguin-no-output
PY-027,python,7,pynguin,0,,0,pynguin-no-output
PY-048,python,10,pynguin,0,,0,pynguin-no-output
PY-030,python,7,pynguin,0,,0,pynguin-no-output
PY-035,python,8,pynguin,0,,0,pynguin-no-output
PY-042,python,9,pynguin,0,,0,pynguin-no-output
PY-036,python,8,pynguin,0,,0,pynguin-no-output
PY-037,python,8,pynguin,0,,0,pynguin-no-output
PY-043,python,9,pynguin,0,,0,pynguin-no-output
