function_id,language,cc,method,branch_coverage,mutation_score,compiled,note
PY-001,python,5,pynguin,0,0,0,
PY-002,python,5,pynguin,0,0,0,
PY-003,python,5,pynguin,0,0,0,
PY-011,python,6,pynguin,0,0,0,
PY-012,python,6,pynguin,0,0,0,
PY-021,python,7,pynguin,0,0,0,
PY-022,python,7,pynguin,0,0,0,
PY-031,python,8,pynguin,0,0,0,
PY-032,python,8,pynguin,0,0,0,
PY-046,python,10,pynguin,0,0,0,
PY-004,python,5,pynguin,0,0,0,
PY-005,python,5,pynguin,0,0,0,
PY-006,python,5,pynguin,0,0,0,
PY-007,python,5,pynguin,0,0,0,
PY-008,python,5,pynguin,0,0,0,
PY-009,python,5,pynguin,0,0,0,
PY-010,python,5,pynguin,0,0,0,
PY-013,python,6,pynguin,0,0,0,
PY-014,python,6,pynguin,0,0,0,
PY-033,python,8,pynguin,0,0,0,
PY-040,python,9,pynguin,0,0,0,
PY-023,python,7,pynguin,0,0,0,
PY-050,python,5,pynguin,0,0,0,
PY-051,python,5,pynguin,0,0,0,
PY-024,python,7,pynguin,0,0,0,
PY-034,python,8,pynguin,0,0,0,
PY-015,python,6,pynguin,0,0,0,
PY-041,python,9,pynguin,0,0,0,
PY-016,python,6,pynguin,0,0,0,
PY-025,python,7,pynguin,0,0,0,
PY-052,python,5,pynguin,0,0,0,
PY-053,python,5,pynguin,0,0,0,
PY-054,python,5,pynguin,0,0,0,
PY-017,python,6,pynguin,0,0,0,
PY-026,python,7,pynguin,0,0,0,
PY-055,python,5,pynguin,0,0,0,
PY-056,python,5,pynguin,0,0,0,
PY-018,python,6,pynguin,0,0,0,
PY-019,python,6,pynguin,0,0,0,
PY-057,python,5,pynguin,0,0,0,
PY-020,python,6,pynguin,0,0,0,
PY-047,python,10,pynguin,0,0,0,
PY-058,python,5,pynguin,0,0,0,
PY-059,python,5,pynguin,0,0,0,
PY-060,python,5,pynguin,0,0,0,
PY-027,python,7,pynguin,0,0,0,
PY-048,python,10,pynguin,0,0,0,
PY-028,python,7,pynguin,0,0,0,
PY-029,python,7,pynguin,0,0,0,
PY-030,python,7,pynguin,0,0,0,
PY-035,python,8,pynguin,0,0,0,
PY-042,python,9,pynguin,0,0,0,
PY-036,python,8,pynguin,0,0,0,
PY-037,python,8,pynguin,0,0,0,
PY-043,python,9,pynguin,0,0,0,
PY-038,python,8,pynguin,0,0,0,
PY-044,python,9,pynguin,0,0,0,
PY-049,python,10,pynguin,0,0,0,
PY-039,python,8,pynguin,0,0,0,
PY-045,python,9,pynguin,0,0,0,
