func_id,n_test,n_mutant,n_killed,mutation_score,note
CJ-001,6,14,0,0.0,
CJ-002,1460,8,5,62.5,
CJ-003,1072,10,9,90.0,
CJ-004,80,20,12,60.0,
CJ-005,1750,7,0,0.0,
CJ-006,394,2,0,0.0,
CJ-007,1192,7,6,85.71,
CJ-008,2520,8,1,12.5,
CJ-009,1238,5,2,40.0,
CJ-010,328,6,0,0.0,
CJ-011,3638,5,3,60.0,
CJ-012,80,8,2,25.0,
CJ-013,2,4,0,0.0,
CJ-014,0,0,0,,khong co suite cho lop nay
CJ-015,1170,2,0,0.0,
CJ-016,4,6,0,0.0,
CJ-017,2376,7,0,0.0,
CJ-018,8,2,0,0.0,
CJ-019,4,8,0,0.0,
CJ-020,0,0,0,,khong co suite cho lop nay
CJ-021,6,4,0,0.0,
CJ-022,0,0,0,,khong co suite cho lop nay
CJ-023,1230,14,6,42.86,
CJ-024,4,3,0,0.0,
CJ-025,2016,6,5,83.33,
CJ-026,3620,20,15,75.0,
CJ-027,1092,0,0,,
CJ-028,2,2,0,0.0,
CJ-029,970,4,0,0.0,
CJ-030,1254,9,0,0.0,
CJ-031,2102,6,6,100.0,
CJ-032,0,0,0,,khong co suite cho lop nay
CJ-033,4,5,0,0.0,
CJ-034,2,9,0,0.0,
CJ-035,2752,2,0,0.0,
CJ-036,2744,1,0,0.0,
CJ-037,1002,4,0,0.0,
CJ-038,2882,3,0,0.0,
CJ-039,20,5,0,0.0,
CJ-040,500,3,3,100.0,
CJ-041,2158,7,6,85.71,
CJ-042,2050,1,1,100.0,
CJ-043,970,4,0,0.0,
CJ-044,0,0,0,,khong co suite cho lop nay
CJ-045,8,2,0,0.0,
CJ-046,1544,0,0,,RED tren ban goc (946/1544)
CJ-047,236,7,0,0.0,
CJ-048,1162,0,0,,RED tren ban goc (332/1162)
CJ-049,0,0,0,,khong co suite cho lop nay
CJ-050,1586,7,2,28.57,
CJ-051,1240,3,0,0.0,
CJ-052,1230,2,2,100.0,
CJ-053,10,9,0,0.0,
CJ-054,2024,7,4,57.14,
CJ-055,2,1,0,0.0,
CJ-056,2246,2,0,0.0,
CJ-057,2744,5,0,0.0,
CJ-058,3868,6,0,0.0,
CJ-059,4,5,0,0.0,
CJ-060,0,0,0,,khong co suite cho lop nay
