class,n_func,rc,status
com.google.gson.GsonBuilder,1,0,ok
com.google.gson.internal.Excluder,1,0,ok
com.google.gson.internal.LinkedTreeMap,1,0,ok
com.google.gson.internal.Primitives,1,0,ok
com.google.gson.internal.bind.JsonTreeReader,1,0,ok
com.google.gson.internal.bind.MapTypeAdapterFactory,1,0,ok
com.google.gson.metrics.BagOfPrimitivesDeserializationBenchmark,1,0,ok
com.google.gson.protobuf.ProtoTypeAdapter,1,0,no-output(rc=0)
org.apache.commons.cli.Option,1,0,ok
org.apache.commons.cli.OptionGroup,1,0,ok
org.apache.commons.cli.Parser,1,0,ok
org.apache.commons.cli.PatternOptionBuilder,2,0,ok
org.apache.commons.cli.help.HelpFormatter,1,0,ok
org.apache.commons.cli.help.TextHelpAppendable,2,0,ok
org.apache.commons.collections4.CollectionUtils,2,0,ok
org.apache.commons.collections4.bidimap.AbstractDualBidiMap,2,0,no-output(rc=0)
org.apache.commons.collections4.bloomfilter.ArrayCountingBloomFilter,1,0,ok
org.apache.commons.collections4.iterators.ListIteratorWrapper,1,0,ok
org.apache.commons.collections4.map.AbstractHashedMap,1,0,ok
org.apache.commons.collections4.map.AbstractLinkedMap,1,0,ok
org.apache.commons.csv.CSVPrinter,2,0,no-output(rc=0)
org.apache.commons.csv.ExtendedBufferedReader,1,0,no-output(rc=0)
org.apache.commons.math4.core.jdkmath.AccurateMath,1,0,ok
org.apache.commons.math4.legacy.core.MathArrays,1,,khong-co-bytecode-jdk11
org.apache.commons.math4.legacy.core.dfp.Dfp,1,,khong-co-bytecode-jdk11
org.apache.commons.math4.legacy.core.dfp.DfpMath,1,,khong-co-bytecode-jdk11
org.apache.commons.math4.legacy.linear.BiDiagonalTransformer,1,,khong-co-bytecode-jdk11
org.apache.commons.math4.legacy.linear.BlockRealMatrix,1,,khong-co-bytecode-jdk11
org.apache.commons.math4.legacy.linear.OpenIntToFieldHashMap,1,,khong-co-bytecode-jdk11
org.apache.commons.math4.legacy.random.SobolSequenceGenerator,1,,khong-co-bytecode-jdk11
org.jfree.chart.internal.ArrayUtils,1,0,ok
org.jfree.chart.plot.CategoryMarker,1,0,ok
org.jfree.chart.plot.MeterInterval,1,0,no-output(rc=0)
org.jfree.chart.plot.compass.MeterNeedle,1,-1,timeout
org.jfree.chart.renderer.AbstractRenderer,1,0,ok
org.jfree.chart.title.CompositeTitle,1,0,ok
org.jfree.data.statistics.MeanAndStandardDeviation,1,0,ok
org.jfree.data.time.Minute,1,0,ok
org.jfree.data.xy.DefaultWindDataset,1,0,ok
org.joda.time.DateTimeComparator,1,0,ok
org.joda.time.LocalTime,1,0,no-output(rc=0)
org.joda.time.Seconds,1,0,ok
org.joda.time.base.AbstractInterval,1,0,ok
org.joda.time.chrono.LimitChronology,1,0,ok
org.joda.time.field.BaseDateTimeField,1,0,no-output(rc=0)
org.joda.time.format.FormatUtils,1,0,no-output(rc=0)
org.joda.time.tz.FixedDateTimeZone,1,0,no-output(rc=0)
org.jsoup.examples.HtmlToPlainText,1,0,no-output(rc=0)
org.jsoup.examples.ListLinks,1,0,ok
org.jsoup.helper.W3CDom,1,0,no-output(rc=0)
org.jsoup.internal.StringUtil,1,0,ok
org.jsoup.nodes.Attribute,1,0,no-output(rc=0)
org.jsoup.nodes.Element,2,0,no-output(rc=0)
org.jsoup.safety.Safelist,1,0,no-output(rc=0)
