func_id,gpt4o_v3_noconf,gpt4o_v3_conf,gpt4o_v3r2c_noconf,gpt4o_v3r2c_conf,gpt4o_v3r3e_noconf,gpt4o_v3r3e_conf,best_ver,best_pass,best_setup
PY-001,0,0,0,0,4,4,gpt4o_v3r3e,4,noconf
PY-002,0,1,1,2,,,gpt4o_v3r2c,2,conf
PY-003,0,0,0,3,,,gpt4o_v3r2c,3,conf
PY-004,4,4,,,,,gpt4o_v3,4,noconf
PY-005,4,4,,,,,gpt4o_v3,4,noconf
PY-006,3,3,,,,,gpt4o_v3,3,noconf
PY-007,0,0,1,1,,,gpt4o_v3r2c,1,noconf
PY-008,0,0,0,0,0,0,,0,
PY-009,0,0,0,0,0,0,,0,
PY-010,3,3,,,,,gpt4o_v3,3,noconf
PY-011,0,0,0,0,1,1,gpt4o_v3r3e,1,noconf
PY-012,0,0,0,4,,,gpt4o_v3r2c,4,conf
PY-013,3,3,,,,,gpt4o_v3,3,noconf
PY-014,0,0,0,0,1,1,gpt4o_v3r3e,1,noconf
PY-015,0,0,0,0,0,0,,0,
PY-016,6,6,,,,,gpt4o_v3,6,noconf
PY-017,6,6,,,,,gpt4o_v3,6,noconf
PY-018,1,1,,,,,gpt4o_v3,1,noconf
PY-019,1,1,,,,,gpt4o_v3,1,noconf
PY-020,0,0,3,3,,,gpt4o_v3r2c,3,noconf
PY-021,1,1,,,,,gpt4o_v3,1,noconf
PY-022,2,2,,,,,gpt4o_v3,2,noconf
PY-023,6,6,,,,,gpt4o_v3,6,noconf
PY-024,6,6,,,,,gpt4o_v3,6,noconf
PY-025,4,4,,,,,gpt4o_v3,4,noconf
PY-026,1,1,,,,,gpt4o_v3,1,noconf
PY-027,3,3,,,,,gpt4o_v3,3,noconf
PY-028,3,3,,,,,gpt4o_v3,3,noconf
PY-029,6,6,,,,,gpt4o_v3,6,noconf
PY-030,1,1,,,,,gpt4o_v3,1,noconf
PY-031,0,0,0,3,,,gpt4o_v3r2c,3,conf
PY-032,0,0,0,0,0,0,,0,
PY-033,4,4,,,,,gpt4o_v3,4,noconf
PY-034,0,0,3,3,,,gpt4o_v3r2c,3,noconf
PY-035,5,5,,,,,gpt4o_v3,5,noconf
PY-036,0,0,0,0,0,0,,0,
PY-037,7,7,,,,,gpt4o_v3,7,noconf
PY-038,9,9,,,,,gpt4o_v3,9,noconf
PY-039,5,5,,,,,gpt4o_v3,5,noconf
PY-040,0,0,0,0,0,5,gpt4o_v3r3e,5,conf
PY-041,1,1,,,,,gpt4o_v3,1,noconf
PY-042,1,1,,,,,gpt4o_v3,1,noconf
PY-043,0,0,0,0,0,0,,0,
PY-044,0,0,0,0,2,2,gpt4o_v3r3e,2,noconf
PY-045,3,3,,,,,gpt4o_v3,3,noconf
PY-046,4,4,,,,,gpt4o_v3,4,noconf
PY-047,2,2,,,,,gpt4o_v3,2,noconf
PY-048,5,5,,,,,gpt4o_v3,5,noconf
PY-049,9,9,,,,,gpt4o_v3,9,noconf
PY-050,3,3,,,,,gpt4o_v3,3,noconf
PY-051,3,3,,,,,gpt4o_v3,3,noconf
PY-052,3,3,,,,,gpt4o_v3,3,noconf
PY-053,7,7,,,,,gpt4o_v3,7,noconf
PY-054,6,6,,,,,gpt4o_v3,6,noconf
PY-055,5,5,,,,,gpt4o_v3,5,noconf
PY-056,0,0,5,5,,,gpt4o_v3r2c,5,noconf
PY-057,4,4,,,,,gpt4o_v3,4,noconf
PY-058,0,0,0,0,0,0,,0,
PY-059,1,1,,,,,gpt4o_v3,1,noconf
PY-060,2,2,,,,,gpt4o_v3,2,noconf
