func_id,fixed_by_import,n_imports_added,imports,remaining_error
JA-001,0,0,,nstructor DateTimeComparator in class DateTimeComparator cannot be applied to given types;
JA-002,0,0,,mmons\cli\CommandLineTest_JA_002.java:12: error: reference to getOptionValues is ambiguous
JA-003,0,1,org.apache.commons.collections4.CollectionUtils.SetOperationCardinalityHelper,_JA_003.java:3: error: SetOperationCardinalityHelper has private access in CollectionUtils
JA-004,0,0,,.java:8: error: constructor CSVFormat in class CSVFormat cannot be applied to given types;
JA-006,1,2,javax.annotation.PostConstruct;com.google.gson.TypeAdapter,
JA-008,0,0,,pamrfk2t1\org\jsoup\examples\HtmlToPlainTextTest_JA_008.java:53: error: cannot find symbol
JA-009,0,1,javax.xml.ws.Provider,kProvider is not abstract and does not override abstract method invoke(Object) in Provider
JA-010,0,0,,cli\CommandLineTest_JA_010.java:13: error: reference to getParsedOptionValues is ambiguous
JA-012,0,0,,_JA_012.java:15: error: getMatchingLongOptions(String) has private access in DefaultParser
JA-014,0,0,,ava:23: error: method printWithQuotes in class CSVFormat cannot be applied to given types;
JA-016,0,0,,"016.java:18: error: format(Date,boolean,TimeZone) has private access in UtcDateTypeAdapter"
JA-017,0,0,,a\Local\Temp\tmps6b5t13n\org\jfree\chart\KeyTest_JA_017.java:23: error: cannot find symbol
JA-018,0,0,,helper\DataUtilTest_JA_018.java:18: error: openStream(Path) has private access in DataUtil
JA-020,0,0,,:13: error: constructor OptionGroup in class OptionGroup cannot be applied to given types;
JA-021,0,0,,omparatorTest_JA_021.java:11: error: ALL_INSTANCE has private access in DateTimeComparator
JA-022,0,1,org.apache.commons.cli.DefaultParser.NonOptionAction,hixieaq\org\apache\commons\cli\DefaultParserTest_JA_022.java:19: error: cannot find symbol
JA-023,0,1,org.apache.commons.collections4.CollectionUtils.SetOperationCardinalityHelper,_JA_023.java:3: error: SetOperationCardinalityHelper has private access in CollectionUtils
JA-024,0,0,,_JA_024.java:13: error: constructor Lexer in class Lexer cannot be applied to given types;
JA-026,0,1,com.google.common.reflect.TypeToken,\Local\Temp\tmptqgm874s\com\google\gson\GsonTest_JA_026.java:14: error: cannot find symbol
JA-027,0,3,org.jfree.chart.api.HorizontalAlignment;org.jfree.chart.block.Size2D;org.jfree.chart.api.VerticalAlignment,\Temp\tmpz64lml58\org\jfree\chart\JFreeChartTest_JA_027.java:19: error: cannot find symbol
JA-028,0,2,org.jsoup.Connection.Request;javax.xml.ws.Response,rg.jsoup.Connection.Request cannot be converted to org.jsoup.helper.HttpConnection.Request
JA-029,0,0,,nstructor DateTimeComparator in class DateTimeComparator cannot be applied to given types;
JA-030,0,1,org.apache.commons.cli.DefaultParser.NonOptionAction,\commons\cli\NonOptionActionTest_JA_030.java:10: error: enum types may not be instantiated
JA-032,0,0,,ParserTest_JA_032.java:12: error: isLongOption(String) has private access in DefaultParser
JA-034,0,0,,.java:10: error: non-static method trim(String) cannot be referenced from a static context
JA-036,0,0,,"t_JA_036.java:10: error: parseInt(String,int,int) has private access in UtcDateTypeAdapter"
JA-037,0,6,org.jfree.chart.block.Size2D;org.jfree.chart.title.Title;org.jfree.chart.api.RectangleEdge;org.jfree.chart.block.RectangleConstraint;org.jfree.chart.block.EntityBlockResult;org.jfree.chart.block.Block,hartTest_JA_037.java:23: error: no suitable constructor found for JFreeChart(no arguments)
JA-039,0,0,,riodTest_JA_039.java:36: error: no suitable method found for thenReturn(DurationFieldType)
JA-040,0,1,org.apache.commons.cli.HelpFormatter.OptionComparator,nComparatorTest_JA_040.java:3: error: OptionComparator has private access in HelpFormatter
JA-041,0,3,javax.xml.ws.Provider;org.joda.time.tz.UTCProvider;org.joda.time.tz.ZoneInfoProvider,imeZoneTest_JA_041.java:15: error: getDefaultProvider() has private access in DateTimeZone
JA-042,0,2,org.apache.commons.cli.DefaultParser.NonOptionAction;org.apache.commons.cli.help.OptionFormatter,avig44l\org\apache\commons\cli\DefaultParserTest_JA_042.java:15: error: cannot find symbol
JA-043,0,1,org.apache.commons.collections4.CollectionUtils.SetOperationCardinalityHelper,_JA_043.java:3: error: SetOperationCardinalityHelper has private access in CollectionUtils
JA-045,0,0,,A_045.java:11: error: method expm1 in class AccurateMath cannot be applied to given types;
JA-046,0,1,com.google.common.reflect.TypeToken,zm896\com\google\gson\GsonTest_JA_046.java:14: error: reference to getAdapter is ambiguous
JA-047,1,2,java.awt.Color;java.awt.BasicStroke,
JA-048,0,1,org.jsoup.examples.HtmlToPlainText.FormattingVisitor,gVisitorTest_JA_048.java:3: error: FormattingVisitor has private access in HtmlToPlainText
JA-050,0,0,,":14: error: appendOption(StringBuilder,Option,boolean) has private access in HelpFormatter"
JA-052,0,0,,3\org\apache\commons\cli\PatternOptionBuilderTest_JA_052.java:9: error: cannot find symbol
JA-053,0,1,org.apache.commons.collections4.CollectionUtils.SetOperationCardinalityHelper,_JA_053.java:3: error: SetOperationCardinalityHelper has private access in CollectionUtils
JA-054,0,0,,dBufferedReaderTest_JA_054.java:9: error: cannot inherit from final ExtendedBufferedReader
JA-056,0,3,com.google.gson.stream.JsonToken;com.google.common.reflect.TypeToken;com.google.gson.stream.JsonReader,"hod found for fromJson(JsonReader,<anonymous com.google.common.reflect.TypeToken<Object>>)"
JA-057,0,9,java.awt.Paint;org.jfree.chart.title.TextTitle;org.jfree.chart.block.Block;org.jfree.chart.title.CompositeTitle;org.jfree.chart.axis.ValueAxis;org.jfree.chart.legend.PaintScaleLegend;java.awt.Font;org,_JA_057.java:20: error: no suitable constructor found for StandardChartTheme(no arguments)
JA-058,0,0,,g\jsoup\helper\HttpConnectionTest_JA_058.java:25: error: package Connection does not exist
