function_id,language,cc,method,branch_coverage,mutation_score,compiled
PY-001,python,5,gpt4o-mini,0.0,0.0,0
PY-002,python,5,gpt4o-mini,0.0,0.0,0
PY-011,python,6,gpt4o-mini,0.0,0.0,0
PY-012,python,6,gpt4o-mini,0.0,0.0,0
PY-021,python,7,gpt4o-mini,0.0,0.0,0
PY-022,python,7,gpt4o-mini,0.0,0.0,0
PY-031,python,8,gpt4o-mini,0.0,0.0,0
PY-032,python,8,gpt4o-mini,0.0,0.0,0
PY-040,python,9,gpt4o-mini,0.0,0.0,0
PY-041,python,9,gpt4o-mini,0.0,100.0,1
PY-046,python,10,gpt4o-mini,0.0,0.0,0
PY-047,python,10,gpt4o-mini,0.0,100.0,1
JA-002,java,5,evosuite,100.0,71.43,1
JA-010,java,5,evosuite,83.33,71.43,1
JA-012,java,6,evosuite,50.0,63.64,1
JA-020,java,6,evosuite,60.0,0.0,1
JA-022,java,7,evosuite,83.33,30.77,1
JA-030,java,7,evosuite,64.29,90.0,1
JA-032,java,8,evosuite,64.29,81.82,1
JA-040,java,8,evosuite,91.67,30.77,1
JA-042,java,9,evosuite,93.75,72.73,1
JA-050,java,9,evosuite,75.0,12.5,1
JA-052,java,10,evosuite,100.0,100.0,1
JA-060,java,10,evosuite,100.0,100.0,1
