function_id,language,cc,method,branch_coverage,mutation_score,compiled
JA-002,java,5,evosuite,100.0,71.43,1
JA-010,java,5,evosuite,83.33,71.43,1
JA-012,java,6,evosuite,80.0,63.64,1
JA-020,java,6,evosuite,0.0,0.0,1
JA-022,java,7,evosuite,50.0,30.77,1
JA-030,java,7,evosuite,0.0,0.0,1
JA-032,java,8,evosuite,0.0,0.0,1
JA-040,java,8,evosuite,91.67,53.85,1
JA-042,java,9,evosuite,93.75,63.64,1
JA-050,java,9,evosuite,68.75,12.5,1
JA-052,java,10,evosuite,100.0,100.0,1
JA-060,java,10,evosuite,100.0,100.0,1
JA-002,java,5,randoop,12.5,0.0,1
JA-010,java,5,randoop,16.67,28.57,1
JA-012,java,6,randoop,0.0,0.0,1
JA-020,java,6,randoop,0.0,0.0,1
JA-022,java,7,randoop,0.0,0.0,1
JA-030,java,7,randoop,0.0,0.0,1
JA-032,java,8,randoop,0.0,0.0,1
JA-040,java,8,randoop,75.0,30.77,1
JA-042,java,9,randoop,0.0,0.0,1
JA-050,java,9,randoop,0.0,0.0,1
JA-052,java,10,randoop,20.0,11.11,1
JA-060,java,10,randoop,60.0,100.0,1
JA-004,java,5,evosuite,62.5,0.0,1
JA-014,java,6,evosuite,0.0,0.0,1
JA-024,java,7,evosuite,0.0,0.0,1
JA-034,java,8,evosuite,100.0,0.0,1
JA-044,java,9,evosuite,20.0,25.0,1
JA-054,java,10,evosuite,100.0,0.0,1
JA-004,java,5,randoop,50.0,0.0,1
JA-014,java,6,randoop,0.0,0.0,1
JA-024,java,7,randoop,0.0,0.0,1
JA-034,java,8,randoop,0.0,0.0,1
JA-044,java,9,randoop,0.0,0.0,1
JA-054,java,10,randoop,0.0,0.0,1
JA-007,java,5,evosuite,50.0,0.0,1
JA-017,java,6,evosuite,0.0,,1
JA-027,java,7,evosuite,0.0,0.0,1
JA-037,java,8,evosuite,0.0,0.0,1
JA-047,java,9,evosuite,0.0,0.0,1
JA-057,java,10,evosuite,22.22,0.0,1
JA-007,java,5,randoop,50.0,0.0,1
JA-017,java,6,randoop,0.0,,1
JA-027,java,7,randoop,0.0,0.0,1
JA-037,java,8,randoop,0.0,0.0,1
JA-047,java,9,randoop,0.0,0.0,1
JA-057,java,10,randoop,22.22,0.0,1
JA-003,java,5,evosuite,0.0,0.0,1
JA-013,java,6,evosuite,100.0,72.73,1
JA-023,java,7,evosuite,0.0,0.0,1
JA-033,java,8,evosuite,100.0,0.0,1
JA-043,java,9,evosuite,0.0,64.29,1
JA-053,java,10,evosuite,0.0,80.0,1
JA-003,java,5,randoop,0.0,0.0,1
JA-013,java,6,randoop,60.0,72.73,1
JA-023,java,7,randoop,0.0,0.0,1
JA-033,java,8,randoop,0.0,0.0,1
JA-043,java,9,randoop,78.57,64.29,1
JA-053,java,10,randoop,62.5,80.0,1
JA-005,java,5,evosuite,100.0,86.59,1
JA-015,java,6,evosuite,90.0,62.96,1
JA-025,java,7,evosuite,100.0,71.64,1
JA-035,java,8,evosuite,100.0,85.32,1
JA-045,java,9,evosuite,100.0,55.73,1
JA-055,java,10,evosuite,100.0,69.11,1
JA-005,java,5,randoop,100.0,86.59,1
JA-015,java,6,randoop,90.0,62.96,1
JA-025,java,7,randoop,100.0,71.64,1
JA-035,java,8,randoop,100.0,85.32,1
JA-045,java,9,randoop,100.0,55.73,1
JA-055,java,10,randoop,100.0,69.11,1
JA-006,java,5,evosuite,0.0,0.0,1
JA-016,java,6,evosuite,0.0,0.0,1
JA-036,java,8,evosuite,0.0,0.0,1
JA-006,java,5,randoop,0.0,0.0,1
JA-016,java,6,randoop,0.0,0.0,1
JA-036,java,8,randoop,0.0,0.0,1
JA-026,java,7,evosuite,0.0,0.0,1
JA-046,java,9,evosuite,0.0,0.0,1
JA-056,java,10,evosuite,0.0,0.0,1
JA-026,java,7,randoop,0.0,0.0,1
JA-046,java,9,randoop,0.0,0.0,1
JA-056,java,10,randoop,0.0,0.0,1
JA-008,java,5,evosuite,60.0,0.0,1
JA-018,java,6,evosuite,0.0,0.0,1
JA-028,java,7,evosuite,80.0,0.0,1
JA-038,java,8,evosuite,93.75,0.0,1
JA-048,java,9,evosuite,100.0,,1
JA-058,java,10,evosuite,38.89,,1
JA-008,java,5,randoop,60.0,0.0,1
JA-018,java,6,randoop,0.0,0.0,1
JA-028,java,7,randoop,80.0,0.0,1
JA-038,java,8,randoop,93.75,0.0,1
JA-048,java,9,randoop,100.0,,1
JA-058,java,10,randoop,38.89,,1
JA-001,java,5,evosuite,100.0,0.0,1
JA-009,java,5,evosuite,50.0,0.0,1
JA-011,java,6,evosuite,20.0,0.0,1
JA-019,java,6,evosuite,50.0,0.0,1
JA-021,java,7,evosuite,100.0,0.0,1
JA-029,java,7,evosuite,85.71,0.0,1
JA-031,java,8,evosuite,70.0,0.0,1
JA-039,java,8,evosuite,100.0,0.0,1
JA-041,java,9,evosuite,66.67,0.0,1
