function_id,language,cc,branch_coverage,compiled,method,mutation_score
PY-001,python,5,0.0,0,gpt-4o-mini,
PY-002,python,5,0.0,0,gpt-4o-mini,
PY-003,python,5,0.0,0,gpt-4o-mini,
PY-004,python,5,66.67,1,gpt-4o-mini,
PY-005,python,5,50.0,1,gpt-4o-mini,0.0
PY-006,python,5,50.0,1,gpt-4o-mini,
PY-007,python,5,0.0,0,gpt-4o-mini,
PY-008,python,5,0.0,0,gpt-4o-mini,
PY-009,python,5,0.0,1,gpt-4o-mini,
PY-010,python,5,0.0,1,gpt-4o-mini,
PY-011,python,6,0.0,0,gpt-4o-mini,
PY-012,python,6,20.0,1,gpt-4o-mini,
PY-013,python,6,87.5,1,gpt-4o-mini,55.0
PY-014,python,6,0.0,0,gpt-4o-mini,
PY-015,python,6,0.0,1,gpt-4o-mini,
PY-016,python,6,100.0,1,gpt-4o-mini,66.67
PY-017,python,6,0.0,0,gpt-4o-mini,
PY-018,python,6,0.0,0,gpt-4o-mini,
PY-019,python,6,75.0,1,gpt-4o-mini,50.0
PY-020,python,6,0.0,0,gpt-4o-mini,
PY-021,python,7,0.0,0,gpt-4o-mini,
PY-022,python,7,0.0,0,gpt-4o-mini,
PY-023,python,7,0.0,0,gpt-4o-mini,
PY-024,python,7,70.0,1,gpt-4o-mini,36.84
PY-025,python,7,0.0,0,gpt-4o-mini,
PY-026,python,7,0.0,0,gpt-4o-mini,
PY-027,python,7,0.0,0,gpt-4o-mini,
PY-028,python,7,91.67,1,gpt-4o-mini,
PY-029,python,7,90.0,1,gpt-4o-mini,85.29
PY-030,python,7,20.0,1,gpt-4o-mini,8.33
PY-031,python,8,0.0,1,gpt-4o-mini,
PY-032,python,8,0.0,0,gpt-4o-mini,
PY-033,python,8,0.0,0,gpt-4o-mini,
PY-034,python,8,100.0,1,gpt-4o-mini,
PY-035,python,8,0.0,0,gpt-4o-mini,
PY-036,python,8,0.0,1,gpt-4o-mini,
PY-037,python,8,75.0,1,gpt-4o-mini,0.0
PY-038,python,8,100.0,1,gpt-4o-mini,85.71
PY-039,python,8,90.0,1,gpt-4o-mini,22.22
PY-040,python,9,0.0,1,gpt-4o-mini,
PY-041,python,9,70.0,1,gpt-4o-mini,13.64
PY-042,python,9,75.0,1,gpt-4o-mini,46.15
PY-043,python,9,0.0,1,gpt-4o-mini,
PY-044,python,9,0.0,0,gpt-4o-mini,
PY-045,python,9,0.0,0,gpt-4o-mini,
PY-046,python,10,0.0,0,gpt-4o-mini,
PY-047,python,10,62.5,1,gpt-4o-mini,25.0
PY-048,python,10,0.0,1,gpt-4o-mini,
