function_id,language,cc,method,branch_coverage,compiled,note,tests_passed,tests_failed
PY-001,python,5,gpt4o-mini,0.0,0,invalid:ImportError,0,0
PY-002,python,5,gpt4o-mini,0.0,0,invalid:ImportError,0,0
PY-003,python,5,gpt4o-mini,0.0,0,invalid:ImportError,0,0
PY-004,python,5,gpt4o-mini,66.67,1,ok,0,5
PY-005,python,5,gpt4o-mini,50.0,1,ok,3,1
PY-006,python,5,gpt4o-mini,50.0,1,ok,0,9
PY-007,python,5,gpt4o-mini,0.0,0,invalid:ImportError,0,0
PY-008,python,5,gpt4o-mini,0.0,0,invalid:ImportError,0,0
PY-009,python,5,gpt4o-mini,0.0,1,ok-no-touch,0,6
PY-010,python,5,gpt4o-mini,0.0,1,ok-no-touch,1,2
PY-011,python,6,gpt4o-mini,0.0,0,invalid:ImportError,0,0
PY-012,python,6,gpt4o-mini,20.0,1,ok,0,3
PY-013,python,6,gpt4o-mini,87.5,1,ok,4,4
PY-014,python,6,gpt4o-mini,0.0,0,invalid:ImportError,0,0
PY-015,python,6,gpt4o-mini,0.0,1,ok-no-touch,0,6
PY-016,python,6,gpt4o-mini,100.0,1,ok,6,0
PY-017,python,6,gpt4o-mini,0.0,0,invalid:TypeError,0,0
PY-018,python,6,gpt4o-mini,0.0,0,invalid:ImportError,0,0
PY-019,python,6,gpt4o-mini,75.0,1,ok,4,1
PY-020,python,6,gpt4o-mini,0.0,0,invalid:ImportError,0,0
PY-021,python,7,gpt4o-mini,0.0,0,invalid:ImportError,0,0
PY-022,python,7,gpt4o-mini,0.0,0,invalid:ImportError,0,0
PY-023,python,7,gpt4o-mini,0.0,0,invalid:TypeError,0,0
PY-024,python,7,gpt4o-mini,70.0,1,ok,1,4
PY-025,python,7,gpt4o-mini,0.0,0,invalid:ImportError,0,0
PY-026,python,7,gpt4o-mini,0.0,0,invalid:ImportError,0,0
PY-027,python,7,gpt4o-mini,0.0,0,invalid:ImportError,0,0
PY-028,python,7,gpt4o-mini,91.67,1,ok,2,3
PY-029,python,7,gpt4o-mini,90.0,1,ok,4,1
PY-030,python,7,gpt4o-mini,20.0,1,ok,1,3
PY-031,python,8,gpt4o-mini,0.0,1,ok-no-touch,0,5
PY-032,python,8,gpt4o-mini,0.0,0,invalid:ImportError,0,0
PY-033,python,8,gpt4o-mini,0.0,0,invalid:ImportError,0,0
PY-034,python,8,gpt4o-mini,100.0,1,ok,0,6
PY-035,python,8,gpt4o-mini,0.0,0,invalid:AttributeError,0,0
PY-036,python,8,gpt4o-mini,0.0,1,ok-no-touch,1,6
PY-037,python,8,gpt4o-mini,75.0,1,ok,6,0
PY-038,python,8,gpt4o-mini,100.0,1,ok,6,3
PY-039,python,8,gpt4o-mini,90.0,1,ok,5,0
PY-040,python,9,gpt4o-mini,0.0,1,ok-no-touch,0,5
PY-041,python,9,gpt4o-mini,70.0,1,ok,1,3
PY-042,python,9,gpt4o-mini,75.0,1,ok,4,1
PY-043,python,9,gpt4o-mini,0.0,1,ok-no-touch,0,5
PY-044,python,9,gpt4o-mini,0.0,0,invalid:ImportError,0,0
PY-045,python,9,gpt4o-mini,0.0,0,invalid:ImportError,0,0
PY-046,python,10,gpt4o-mini,0.0,0,invalid:ImportError,0,0
PY-047,python,10,gpt4o-mini,62.5,1,ok,4,1
PY-048,python,10,gpt4o-mini,0.0,1,ok-no-touch,0,6
PY-049,python,10,gpt4o-mini,100.0,1,ok,9,0
PY-050,python,5,gpt4o-mini,100.0,1,ok,3,2
PY-051,python,5,gpt4o-mini,0.0,0,invalid:TypeError,0,0
PY-052,python,5,gpt4o-mini,0.0,0,invalid:ImportError,0,0
PY-053,python,5,gpt4o-mini,0.0,0,invalid:ImportError,0,0
PY-054,python,5,gpt4o-mini,83.33,1,ok,4,1
PY-055,python,5,gpt4o-mini,0.0,0,invalid:TypeError,0,0
PY-056,python,5,gpt4o-mini,0.0,0,invalid:ImportError,0,0
PY-057,python,5,gpt4o-mini,0.0,1,ok-no-touch,0,5
PY-058,python,5,gpt4o-mini,25.0,1,ok,0,5
PY-059,python,5,gpt4o-mini,100.0,1,ok,2,4
PY-060,python,5,gpt4o-mini,0.0,0,invalid:ImportError,0,0
