function_id,language,cc,method,mutation_score,note
PY-005,python,5,gpt4o-mini,0.0,ok
PY-013,python,6,gpt4o-mini,55.0,ok
PY-016,python,6,gpt4o-mini,66.67,ok
PY-019,python,6,gpt4o-mini,50.0,ok
PY-024,python,7,gpt4o-mini,36.84,ok
PY-028,python,7,gpt4o-mini,,no-pass
PY-029,python,7,gpt4o-mini,85.29,ok
PY-030,python,7,gpt4o-mini,8.33,ok
PY-037,python,8,gpt4o-mini,0.0,ok
PY-038,python,8,gpt4o-mini,85.71,ok
PY-039,python,8,gpt4o-mini,22.22,ok
PY-041,python,9,gpt4o-mini,13.64,ok
PY-042,python,9,gpt4o-mini,46.15,ok
PY-047,python,10,gpt4o-mini,25.0,ok
PY-049,python,10,gpt4o-mini,84.0,ok
PY-050,python,5,gpt4o-mini,45.45,ok
PY-054,python,5,gpt4o-mini,12.5,ok
PY-059,python,5,gpt4o-mini,14.29,ok
