func_id,visibility,n_test,n_mutant,n_killed,mutation_score,note
JA-001,,0,0,0,,test khong bien dich duoc
JA-002,,0,0,0,,test khong bien dich duoc
JA-003,,0,0,0,,test khong bien dich duoc
JA-004,,0,0,0,,test khong bien dich duoc
JA-005,,8,20,14,70.0,
JA-006,,0,0,0,,test khong bien dich duoc
JA-007,,5,2,0,0.0,
JA-008,,0,0,0,,test khong bien dich duoc
JA-009,,0,0,0,,test khong bien dich duoc
JA-010,,0,0,0,,test khong bien dich duoc
JA-011,,9,0,0,,RED tren ban goc (3/9 that bai)
JA-012,,0,0,0,,test khong bien dich duoc
JA-013,,6,9,9,100.0,
JA-014,,0,0,0,,test khong bien dich duoc
JA-015,,7,0,0,,RED tren ban goc (3/7 that bai)
JA-016,,0,0,0,,test khong bien dich duoc
JA-017,,0,0,0,,test khong bien dich duoc
JA-018,,0,0,0,,test khong bien dich duoc
JA-019,,3,0,0,,RED tren ban goc (1/3 that bai)
JA-020,,0,0,0,,test khong bien dich duoc
JA-021,,0,0,0,,test khong bien dich duoc
JA-022,,0,0,0,,test khong bien dich duoc
JA-023,,0,0,0,,test khong bien dich duoc
JA-024,,0,0,0,,test khong bien dich duoc
JA-025,,8,0,0,,RED tren ban goc (4/8 that bai)
JA-026,,0,0,0,,test khong bien dich duoc
JA-027,,0,0,0,,test khong bien dich duoc
JA-028,,0,0,0,,test khong bien dich duoc
JA-029,,0,0,0,,test khong bien dich duoc
JA-030,,0,0,0,,test khong bien dich duoc
JA-031,,5,0,0,,RED tren ban goc (2/5 that bai)
JA-032,,0,0,0,,test khong bien dich duoc
JA-033,,7,0,0,,RED tren ban goc (1/7 that bai)
JA-034,,0,0,0,,test khong bien dich duoc
JA-035,,10,20,14,70.0,
JA-036,,0,0,0,,test khong bien dich duoc
JA-037,,0,0,0,,test khong bien dich duoc
JA-038,,7,13,12,92.31,
JA-039,,0,0,0,,test khong bien dich duoc
JA-040,,0,0,0,,test khong bien dich duoc
JA-041,,0,0,0,,test khong bien dich duoc
JA-042,,0,0,0,,test khong bien dich duoc
JA-043,,0,0,0,,test khong bien dich duoc
JA-044,,5,0,0,,RED tren ban goc (5/5 that bai)
JA-045,,0,0,0,,test khong bien dich duoc
JA-046,,0,0,0,,test khong bien dich duoc
JA-047,,0,0,0,,test khong bien dich duoc
JA-048,,0,0,0,,test khong bien dich duoc
JA-049,,6,13,0,0.0,
JA-050,,0,0,0,,test khong bien dich duoc
JA-051,,5,0,0,,RED tren ban goc (2/5 that bai)
JA-052,,0,0,0,,test khong bien dich duoc
JA-053,,0,0,0,,test khong bien dich duoc
JA-054,,0,0,0,,test khong bien dich duoc
JA-055,,8,0,0,,RED tren ban goc (4/8 that bai)
JA-056,,0,0,0,,test khong bien dich duoc
JA-057,,0,0,0,,test khong bien dich duoc
JA-058,,0,0,0,,test khong bien dich duoc
JA-059,,7,13,13,100.0,
JA-060,,11,20,20,100.0,
