func_id,visibility,n_test,n_mutant,n_killed,mutation_score,note
JA-001,,0,0,0,,test khong bien dich duoc
JA-002,,0,0,0,,test khong bien dich duoc
JA-003,,0,0,0,,test khong bien dich duoc
JA-004,,0,0,0,,test khong bien dich duoc
JA-005,,9,20,16,80.0,
JA-006,,0,0,0,,test khong bien dich duoc
JA-007,,0,0,0,,test khong bien dich duoc
JA-008,,0,0,0,,khong co test nao chay
JA-009,,0,0,0,,test khong bien dich duoc
JA-010,,0,0,0,,test khong bien dich duoc
JA-011,,0,0,0,,test khong bien dich duoc
JA-012,,3,0,0,,RED tren ban goc (3/3 that bai)
JA-013,,8,9,8,88.89,
JA-014,,0,0,0,,test khong bien dich duoc
JA-015,,6,20,13,65.0,
JA-016,,6,0,0,,RED tren ban goc (5/6 that bai)
JA-017,,9,0,0,,RED tren ban goc (8/9 that bai)
JA-018,,0,0,0,,test khong bien dich duoc
JA-019,,0,0,0,,test khong bien dich duoc
JA-020,,0,0,0,,test khong bien dich duoc
JA-021,,0,0,0,,test khong bien dich duoc
JA-022,,6,0,0,,RED tren ban goc (3/6 that bai)
JA-023,,8,4,2,50.0,
JA-024,,0,0,0,,test khong bien dich duoc
JA-025,,9,0,0,,RED tren ban goc (4/9 that bai)
JA-026,,0,0,0,,test khong bien dich duoc
JA-027,,0,0,0,,test khong bien dich duoc
JA-028,,0,0,0,,test khong bien dich duoc
JA-029,,0,0,0,,test khong bien dich duoc
JA-030,,7,9,9,100.0,
JA-031,,5,0,0,,RED tren ban goc (2/5 that bai)
JA-032,,0,0,0,,test khong bien dich duoc
JA-033,,7,3,3,100.0,
JA-034,,7,0,0,,RED tren ban goc (1/7 that bai)
JA-035,,10,20,14,70.0,
JA-036,,7,0,0,,RED tren ban goc (1/7 that bai)
JA-037,,0,0,0,,test khong bien dich duoc
JA-038,,8,13,12,92.31,
JA-039,,0,0,0,,test khong bien dich duoc
JA-040,,7,0,0,,RED tren ban goc (3/7 that bai)
JA-041,,0,0,0,,test khong bien dich duoc
JA-042,,0,0,0,,test khong bien dich duoc
JA-043,,0,0,0,,test khong bien dich duoc
JA-044,,7,0,0,,RED tren ban goc (5/7 that bai)
JA-045,,0,0,0,,test khong bien dich duoc
JA-046,,0,0,0,,test khong bien dich duoc
JA-047,,0,0,0,,test khong bien dich duoc
JA-048,,0,0,0,,test khong bien dich duoc
JA-049,,0,0,0,,test khong bien dich duoc
JA-050,,0,0,0,,test khong bien dich duoc
JA-051,,0,0,0,,test khong bien dich duoc
JA-052,,10,0,0,,RED tren ban goc (1/10 that bai)
JA-053,,12,1,1,100.0,
JA-054,,0,0,0,,test khong bien dich duoc
JA-055,,12,0,0,,RED tren ban goc (4/12 that bai)
JA-056,,5,0,0,,RED tren ban goc (3/5 that bai)
JA-057,,0,0,0,,test khong bien dich duoc
JA-058,,0,0,0,,test khong bien dich duoc
JA-059,,6,0,0,,RED tren ban goc (2/6 that bai)
JA-060,,13,20,20,100.0,
