func_id,branch_coverage,mutation_score,n_mutant,n_killed,note
PY-001,0.0,,0,0,khong co test xanh (collect-fail)
PY-002,87.5,,0,0,khong co diem dot bien (metric khong xac dinh)
PY-003,75.0,0.0,3,0,
PY-004,83.33,100.0,2,2,
PY-005,100.0,0.0,1,0,
PY-006,66.67,66.67,6,4,
PY-007,25.0,0.0,2,0,
PY-008,0.0,,0,0,khong co test xanh (per-test)
PY-009,0.0,,0,0,khong co test xanh (per-test)
PY-010,0.0,,0,0,test xanh nhung KHONG cham ham dich
PY-011,0.0,,0,0,khong co test xanh (per-test)
PY-012,80.0,,0,0,khong co diem dot bien (metric khong xac dinh)
PY-013,62.5,57.14,7,4,
PY-014,0.0,,0,0,khong co test xanh (per-test)
PY-015,0.0,,0,0,khong co test xanh (per-test)
PY-016,100.0,100.0,1,1,
PY-017,100.0,100.0,4,4,
PY-018,83.33,,0,0,khong co diem dot bien (metric khong xac dinh)
PY-019,25.0,0.0,2,0,
PY-020,62.5,,0,0,khong co diem dot bien (metric khong xac dinh)
PY-021,60.0,0.0,1,0,
PY-022,50.0,0.0,4,0,
PY-023,90.0,100.0,1,1,
PY-024,80.0,100.0,4,4,
PY-025,83.33,100.0,6,6,
PY-026,50.0,,0,0,khong co diem dot bien (metric khong xac dinh)
PY-027,37.5,20.0,10,2,
PY-028,91.67,,0,0,khong co diem dot bien (metric khong xac dinh)
PY-029,90.0,83.33,6,5,
PY-030,10.0,11.11,9,1,
PY-031,71.43,,0,0,khong co diem dot bien (metric khong xac dinh)
PY-032,0.0,,0,0,khong co test xanh (per-test)
PY-033,57.14,50.0,4,2,
PY-034,50.0,,0,0,khong co diem dot bien (metric khong xac dinh)
PY-035,100.0,80.0,5,4,
PY-036,0.0,,0,0,khong co test xanh (collect-fail)
PY-037,75.0,0.0,3,0,
PY-038,87.5,100.0,1,1,
PY-039,80.0,0.0,3,0,
PY-040,0.0,,0,0,khong co test xanh (per-test)
PY-041,30.0,100.0,1,1,
PY-042,16.67,0.0,5,0,
PY-043,0.0,,0,0,khong co test xanh (per-test)
PY-044,0.0,,0,0,khong co test xanh (per-test)
PY-045,10.0,20.0,10,2,
PY-046,83.33,55.56,9,5,
PY-047,37.5,0.0,4,0,
PY-048,75.0,100.0,7,7,
PY-049,100.0,100.0,13,13,
PY-050,100.0,25.0,4,1,
PY-051,75.0,0.0,2,0,
PY-052,83.33,100.0,2,2,
PY-053,100.0,,0,0,khong co diem dot bien (metric khong xac dinh)
PY-054,33.33,100.0,3,3,
PY-055,87.5,100.0,1,1,
PY-056,83.33,0.0,1,0,
PY-057,75.0,,0,0,khong co diem dot bien (metric khong xac dinh)
PY-058,0.0,,0,0,khong co test xanh (per-test)
PY-059,37.5,,0,0,khong co diem dot bien (metric khong xac dinh)
PY-060,50.0,,0,0,khong co diem dot bien (metric khong xac dinh)
