func_id,branch_coverage,mutation_score,n_mutant,n_killed,note
CP-001,75.0,100.0,4,4,
CP-002,0.0,,0,0,khong co test xanh (per-test)
CP-003,0.0,,0,0,khong co test xanh (per-test)
CP-004,0.0,,0,0,khong co test xanh (per-test)
CP-005,75.0,66.67,9,6,
CP-006,0.0,,0,0,khong co test xanh (per-test)
CP-007,0.0,,0,0,khong co test xanh (per-test)
CP-008,0.0,,0,0,test xanh nhung KHONG cham ham dich
CP-009,87.5,100.0,1,1,
CP-010,0.0,,0,0,khong co test xanh (collect-fail)
CP-011,50.0,0.0,2,0,
CP-012,100.0,100.0,4,4,
CP-013,0.0,,0,0,khong co test xanh (per-test)
CP-014,75.0,57.14,7,4,
CP-015,100.0,,0,0,khong co diem dot bien (metric khong xac dinh)
CP-016,0.0,,0,0,khong co test xanh (per-test)
CP-017,100.0,88.89,9,8,
CP-018,50.0,0.0,4,0,
CP-019,83.33,0.0,3,0,
CP-020,33.33,100.0,3,3,
CP-021,75.0,33.33,3,1,
CP-022,100.0,100.0,1,1,
CP-023,50.0,0.0,4,0,
CP-024,100.0,25.0,4,1,
CP-025,87.5,87.5,24,21,
CP-026,30.0,100.0,1,1,
CP-027,100.0,100.0,14,14,
CP-028,0.0,,0,0,khong co test xanh (per-test)
CP-029,75.0,100.0,1,1,
CP-030,0.0,,0,0,khong co test xanh (collect-fail)
CP-031,87.5,,0,0,khong co diem dot bien (metric khong xac dinh)
CP-032,0.0,,0,0,khong co test xanh (per-test)
CP-033,100.0,,0,0,khong co diem dot bien (metric khong xac dinh)
CP-034,78.57,25.0,4,1,
CP-035,0.0,,0,0,khong co test xanh (collect-fail)
CP-036,20.0,0.0,1,0,
CP-037,50.0,66.67,9,6,
CP-038,0.0,,0,0,khong co test xanh (per-test)
CP-039,100.0,100.0,1,1,
CP-040,70.0,,0,0,khong co diem dot bien (metric khong xac dinh)
CP-041,40.0,33.33,9,3,
CP-042,100.0,100.0,1,1,
CP-043,75.0,0.0,1,0,
CP-044,87.5,0.0,2,0,
CP-045,100.0,84.62,13,11,
CP-046,37.5,,0,0,khong co diem dot bien (metric khong xac dinh)
CP-047,100.0,80.0,5,4,
CP-048,37.5,20.0,10,2,
CP-049,100.0,50.0,4,2,
CP-050,83.33,100.0,2,2,
CP-051,100.0,100.0,5,5,
CP-052,0.0,,0,0,khong co test xanh (collect-fail)
CP-053,90.0,66.67,3,2,
CP-054,0.0,,0,0,khong co test xanh (per-test)
CP-055,50.0,,0,0,khong co diem dot bien (metric khong xac dinh)
CP-056,0.0,,0,0,khong co test xanh (per-test)
CP-057,0.0,,0,0,khong co test xanh (collect-fail)
CP-058,0.0,,0,0,khong co test xanh (per-test)
CP-059,50.0,0.0,2,0,
CP-060,83.33,100.0,4,4,
