func_id,branch_coverage,mutation_score,n_mutant,n_killed,note
CP-001,100.0,100.0,4,4,
CP-002,0.0,,0,0,khong co test xanh (per-test)
CP-003,0.0,,0,0,khong co test xanh (per-test)
CP-004,75.0,,0,0,khong co diem dot bien (metric khong xac dinh)
CP-005,100.0,77.78,9,7,
CP-006,37.5,0.0,3,0,
CP-007,0.0,,0,0,khong co test xanh (per-test)
CP-008,0.0,,0,0,khong co test xanh (per-test)
CP-009,100.0,100.0,1,1,
CP-010,50.0,0.0,2,0,
CP-011,50.0,0.0,2,0,
CP-012,100.0,100.0,4,4,
CP-013,83.33,100.0,1,1,
CP-014,87.5,42.86,7,3,
CP-015,100.0,,0,0,khong co diem dot bien (metric khong xac dinh)
CP-016,0.0,,0,0,khong co test xanh (per-test)
CP-017,100.0,100.0,9,9,
CP-018,33.33,0.0,4,0,
CP-019,50.0,0.0,3,0,
CP-020,83.33,66.67,3,2,
CP-021,75.0,0.0,3,0,
CP-022,50.0,0.0,1,0,
CP-023,50.0,0.0,4,0,
CP-024,0.0,,0,0,khong co test xanh (collect-fail)
CP-025,75.0,58.33,24,14,
CP-026,0.0,,0,0,khong co test xanh (per-test)
CP-027,100.0,100.0,14,14,
CP-028,0.0,,0,0,khong co test xanh (per-test)
CP-029,50.0,0.0,1,0,
CP-030,0.0,,0,0,khong co test xanh (collect-fail)
CP-031,87.5,,0,0,khong co diem dot bien (metric khong xac dinh)
CP-032,0.0,,0,0,khong co test xanh (per-test)
CP-033,100.0,,0,0,khong co diem dot bien (metric khong xac dinh)
CP-034,92.86,50.0,4,2,
CP-035,50.0,0.0,1,0,
CP-036,30.0,0.0,1,0,
CP-037,50.0,55.56,9,5,
CP-038,0.0,,0,0,khong co test xanh (per-test)
CP-039,100.0,0.0,1,0,
CP-040,0.0,,0,0,khong co test xanh (per-test)
CP-041,10.0,11.11,9,1,
CP-042,50.0,100.0,1,1,
CP-043,75.0,0.0,1,0,
CP-044,87.5,100.0,2,2,
CP-045,100.0,100.0,13,13,
CP-046,25.0,,0,0,khong co diem dot bien (metric khong xac dinh)
CP-047,100.0,60.0,5,3,
CP-048,25.0,10.0,10,1,
CP-049,100.0,50.0,4,2,
CP-050,83.33,100.0,2,2,
CP-051,0.0,,0,0,khong co test xanh (per-test)
CP-052,0.0,,0,0,khong co test xanh (collect-fail)
CP-053,90.0,66.67,3,2,
CP-054,0.0,,0,0,khong co test xanh (per-test)
CP-055,50.0,,0,0,khong co diem dot bien (metric khong xac dinh)
CP-056,0.0,,0,0,khong co test xanh (per-test)
CP-057,0.0,,0,0,khong co test xanh (collect-fail)
CP-058,0.0,,0,0,khong co test xanh (per-test)
CP-059,75.0,0.0,2,0,
CP-060,100.0,100.0,4,4,
