func_id,branch_coverage,mutation_score,n_mutant,n_killed,note
PY-001,0.0,,0,0,khong co test xanh (collect-fail)
PY-002,0.0,,0,0,khong co test xanh (collect-fail)
PY-003,0.0,,0,0,khong co test xanh (collect-fail)
PY-004,0.0,,0,0,khong co test xanh (per-test)
PY-005,75.0,0.0,1,0,
PY-006,0.0,,0,0,khong co test xanh (per-test)
PY-007,0.0,,0,0,khong co test xanh (collect-fail)
PY-008,0.0,,0,0,khong co test xanh (collect-fail)
PY-009,0.0,,0,0,khong co test xanh (per-test)
PY-010,0.0,,0,0,test xanh nhung KHONG cham ham dich
PY-011,0.0,,0,0,khong co test xanh (collect-fail)
PY-012,0.0,,0,0,khong co test xanh (per-test)
PY-013,62.5,42.86,7,3,
PY-014,0.0,,0,0,khong co test xanh (collect-fail)
PY-015,0.0,,0,0,khong co test xanh (per-test)
PY-016,100.0,100.0,1,1,
PY-017,0.0,,0,0,khong co test xanh (per-test)
PY-018,0.0,,0,0,khong co test xanh (collect-fail)
PY-019,75.0,100.0,2,2,
PY-020,0.0,,0,0,khong co test xanh (collect-fail)
PY-021,0.0,,0,0,khong co test xanh (collect-fail)
PY-022,0.0,,0,0,khong co test xanh (collect-fail)
PY-023,0.0,,0,0,khong co test xanh (per-test)
PY-024,60.0,25.0,4,1,
PY-025,0.0,,0,0,khong co test xanh (collect-fail)
PY-026,0.0,,0,0,khong co test xanh (collect-fail)
PY-027,0.0,,0,0,khong co test xanh (collect-fail)
PY-028,91.67,,0,0,khong co diem dot bien (metric khong xac dinh)
PY-029,90.0,83.33,6,5,
PY-030,10.0,11.11,9,1,
PY-031,0.0,,0,0,khong co test xanh (per-test)
PY-032,0.0,,0,0,khong co test xanh (collect-fail)
PY-033,0.0,,0,0,khong co test xanh (collect-fail)
PY-034,0.0,,0,0,khong co test xanh (per-test)
PY-035,0.0,,0,0,khong co test xanh (per-test)
PY-036,0.0,,0,0,test xanh nhung KHONG cham ham dich
PY-037,75.0,0.0,3,0,
PY-038,87.5,0.0,1,0,
PY-039,90.0,66.67,3,2,
PY-040,0.0,,0,0,khong co test xanh (per-test)
PY-041,30.0,100.0,1,1,
PY-042,75.0,100.0,5,5,
PY-043,0.0,,0,0,khong co test xanh (per-test)
PY-044,0.0,,0,0,khong co test xanh (collect-fail)
PY-045,50.0,50.0,10,5,
PY-046,0.0,,0,0,khong co test xanh (collect-fail)
PY-047,50.0,0.0,4,0,
PY-048,0.0,,0,0,khong co test xanh (per-test)
PY-049,100.0,100.0,13,13,
PY-050,100.0,75.0,4,3,
PY-051,0.0,,0,0,khong co test xanh (per-test)
PY-052,0.0,,0,0,khong co test xanh (collect-fail)
PY-053,0.0,,0,0,khong co test xanh (collect-fail)
PY-054,83.33,66.67,3,2,
PY-055,0.0,,0,0,khong co test xanh (per-test)
PY-056,0.0,,0,0,khong co test xanh (collect-fail)
PY-057,0.0,,0,0,khong co test xanh (per-test)
PY-058,0.0,,0,0,khong co test xanh (per-test)
PY-059,62.5,,0,0,khong co diem dot bien (metric khong xac dinh)
PY-060,0.0,,0,0,khong co test xanh (collect-fail)
