func_id,module,start,end,n_branch_ast,cause,detail
PY-001,flask.app,562,588,4,A no-suite,crash _ctypes._CData
PY-002,flask.app,590,618,4,A no-suite,crash _ctypes._CData
PY-003,flask.app,992,1019,4,A no-suite,crash _ctypes._CData
PY-004,flask.cli,241,264,4,A no-suite,crash _ctypes._CData
PY-005,flask.cli,493,512,4,A no-suite,crash _ctypes._CData
PY-006,flask.cli,563,598,4,A no-suite,crash _ctypes._CData
PY-007,flask.cli,609,634,4,A no-suite,crash _ctypes._CData
PY-008,flask.cli,678,688,4,A no-suite,crash _ctypes._CData
PY-009,flask.cli,935,993,4,A no-suite,crash _ctypes._CData
PY-010,flask.cli,1001,1045,4,A no-suite,crash _ctypes._CData
PY-011,flask.app,897,948,5,A no-suite,crash _ctypes._CData
PY-012,flask.app,1394,1418,5,A no-suite,crash _ctypes._CData
PY-013,flask.cli,200,226,5,A no-suite,crash _ctypes._CData
PY-014,flask.cli,791,825,5,A no-suite,crash _ctypes._CData
PY-015,flask.helpers,360,399,4,A no-suite,timeout
PY-016,flask.json.provider,108,121,5,E measured,"5/8 nhanh, 14/14 test xanh"
PY-017,flask.sansio.app,893,926,5,A no-suite,crash
PY-018,flask.sansio.blueprints,379,410,5,A no-suite,crash
PY-019,flask.sansio.blueprints,413,441,5,A no-suite,crash
PY-020,flask.sansio.scaffold,657,698,5,A no-suite,chua chay
PY-021,flask.app,509,560,6,A no-suite,crash _ctypes._CData
PY-022,flask.app,865,895,6,A no-suite,crash _ctypes._CData
PY-023,flask.config,126,185,6,E measured,"3/10 nhanh, 27/27 test xanh"
PY-024,flask.ctx,446,504,6,A no-suite,crash
PY-025,flask.json.provider,75,87,6,E measured,"6/6 nhanh, 14/14 test xanh"
PY-026,flask.sansio.app,868,891,6,A no-suite,crash
PY-027,flask.testing,204,247,6,A no-suite,chua chay
PY-028,flask.views,165,180,6,A no-suite,chua chay
PY-029,requests.adapters,85,119,6,E measured,"7/10 nhanh, 28/28 test xanh"
PY-030,requests.auth,273,319,6,A no-suite,chua chay
PY-031,flask.app,1366,1392,7,A no-suite,crash _ctypes._CData
PY-032,flask.app,1566,1616,6,A no-suite,crash _ctypes._CData
PY-033,flask.cli,333,372,7,A no-suite,crash _ctypes._CData
PY-034,flask.debughelpers,107,121,6,C not-reached,"5/5 test xanh, 0/12 nhanh cham toi"
PY-035,requests.cookies,164,182,7,A no-suite,chua chay
PY-036,requests.models,935,956,7,A no-suite,chua chay
PY-037,requests.models,1091,1124,7,A no-suite,chua chay
PY-038,requests.sessions,76,105,5,A no-suite,chua chay
PY-039,requests.utils,290,325,6,A no-suite,chua chay
PY-040,flask.cli,828,864,8,A no-suite,crash _ctypes._CData
PY-041,flask.helpers,587,641,8,A no-suite,timeout
PY-042,requests.cookies,423,452,8,A no-suite,chua chay
PY-043,requests.models,994,1032,8,A no-suite,chua chay
PY-044,requests.sessions,831,868,8,A no-suite,chua chay
PY-045,requests.utils,99,135,8,A no-suite,chua chay
PY-046,flask.app,254,308,9,A no-suite,crash _ctypes._CData
PY-047,flask.sansio.scaffold,709,751,7,A no-suite,chua chay
PY-048,flask.testing,49,86,11,A no-suite,chua chay
PY-049,requests.sessions,154,184,9,A no-suite,chua chay
PY-050,flask.config,256,302,4,E measured,"2/2 nhanh, 27/27 test xanh"
PY-051,flask.config,323,364,4,E measured,"6/8 nhanh, 27/27 test xanh"
PY-052,flask.json.tag,256,287,4,E measured,"6/6 nhanh, 28/28 test xanh"
PY-053,flask.json.tag,309,319,2,E measured,"3/4 nhanh, 28/28 test xanh"
PY-054,flask.logging,31,47,3,F empty-suite,"1/1 test xanh, suite 4 dong, KHONG import module nao"
PY-055,flask.sansio.app,960,979,4,A no-suite,crash
PY-056,flask.sansio.app,981,1013,4,A no-suite,crash
PY-057,flask.sansio.blueprints,87,116,4,A no-suite,crash
PY-058,flask.sansio.scaffold,754,792,4,A no-suite,chua chay
PY-059,flask.sessions,337,385,4,A no-suite,chua chay
PY-060,flask.templating,64,86,4,A no-suite,chua chay
