func_id,language,source_repo,file,func_name,cc,nloc,params,start_line,end_line,raw_source_path
J2-001,java,JodaOrg/joda-time,data-research/raw/joda-time/src/main/java/org/joda/time/field/UnsupportedDateTimeField.java,UnsupportedDateTimeField::getInstance,5,18,2,53,71,processed_dataset/java_functions/J2-001.java
J2-002,java,JodaOrg/joda-time,data-research/raw/joda-time/src/main/java/org/joda/time/format/FormatUtils.java,FormatUtils::appendUnpaddedInteger,5,20,2,291,314,processed_dataset/java_functions/J2-002.java
J2-003,java,JodaOrg/joda-time,data-research/raw/joda-time/src/main/java/org/joda/time/format/FormatUtils.java,FormatUtils::writeUnpaddedInteger,5,20,2,359,382,processed_dataset/java_functions/J2-003.java
J2-004,java,JodaOrg/joda-time,data-research/raw/joda-time/src/main/java/org/joda/time/tz/DateTimeZoneBuilder.java,DateTimeZoneBuilder::readFrom,5,17,2,111,127,processed_dataset/java_functions/J2-004.java
J2-005,java,apache/commons-math,data-research/raw/commons-math/commons-math-legacy-core/src/main/java/org/apache/commons/math4/legacy/core/dfp/DfpMath.java,DfpMath::sin,5,27,1,725,764,processed_dataset/java_functions/J2-005.java
J2-006,java,apache/commons-math,data-research/raw/commons-math/commons-math-legacy-core/src/main/java/org/apache/commons/math4/legacy/core/dfp/DfpMath.java,DfpMath::cos,5,30,1,770,813,processed_dataset/java_functions/J2-006.java
J2-007,java,apache/commons-math,data-research/raw/commons-math/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/analysis/solvers/UnivariateSolverUtils.java,UnivariateSolverUtils::isBracketing,5,11,3,378,388,processed_dataset/java_functions/J2-007.java
J2-008,java,apache/commons-math,data-research/raw/commons-math/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/linear/JacobiPreconditioner.java,JacobiPreconditioner::create,5,22,1,59,80,processed_dataset/java_functions/J2-008.java
J2-009,java,apache/commons-math,data-research/raw/commons-math/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/ode/nonstiff/AdamsNordsieckFieldTransformer.java,AdamsNordsieckFieldTransformer::getInstance,5,17,2,190,206,processed_dataset/java_functions/J2-009.java
J2-010,java,apache/commons-math,data-research/raw/commons-math/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/optim/nonlinear/scalar/noderiv/Simplex.java,Simplex::alongAxes,5,18,1,159,180,processed_dataset/java_functions/J2-010.java
J2-011,java,apache/commons-math,data-research/raw/commons-math/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/util/CompositeFormat.java,CompositeFormat::parseNextCharacter,5,17,2,78,97,processed_dataset/java_functions/J2-011.java
J2-012,java,google/gson,data-research/raw/gson/gson/src/main/java/com/google/gson/JsonParser.java,JsonParser::parseReader,5,14,1,107,120,processed_dataset/java_functions/J2-012.java
J2-013,java,google/gson,data-research/raw/gson/gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,TypeAdapters::TypeAdapter<AtomicIntegerArray>,5,30,0,338,368,processed_dataset/java_functions/J2-013.java
J2-014,java,google/gson,data-research/raw/gson/gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,TypeAdapters::atomicLongArrayAdapter,5,33,1,372,405,processed_dataset/java_functions/J2-014.java
J2-015,java,JodaOrg/joda-time,data-research/raw/joda-time/src/main/java/org/joda/time/DateTimeUtils.java,DateTimeUtils::isContiguous,6,16,1,349,364,processed_dataset/java_functions/J2-015.java
J2-016,java,JodaOrg/joda-time,data-research/raw/joda-time/src/main/java/org/joda/time/chrono/GJChronology.java,GJChronology::getInstance,6,38,3,190,229,processed_dataset/java_functions/J2-016.java
J2-017,java,JodaOrg/joda-time,data-research/raw/joda-time/src/main/java/org/joda/time/field/FieldUtils.java,FieldUtils::safeMultiply,6,18,2,138,155,processed_dataset/java_functions/J2-017.java
J2-018,java,apache/commons-cli,data-research/raw/commons-cli/src/main/java/org/apache/commons/cli/PatternOptionBuilder.java,PatternOptionBuilder::parsePattern,6,37,1,173,223,processed_dataset/java_functions/J2-018.java
J2-019,java,apache/commons-collections,data-research/raw/commons-collections/src/main/java/org/apache/commons/collections4/MapUtils.java,MapUtils::getNumber,6,18,2,930,948,processed_dataset/java_functions/J2-019.java
J2-020,java,apache/commons-collections,data-research/raw/commons-collections/src/main/java/org/apache/commons/collections4/collection/UnmodifiableBoundedCollection.java,UnmodifiableBoundedCollection::unmodifiableBoundedCollection,6,17,1,87,106,processed_dataset/java_functions/J2-020.java
J2-021,java,apache/commons-math,data-research/raw/commons-math/commons-math-core/src/main/java/org/apache/commons/math4/core/jdkmath/AccurateMath.java,AccurateMath::log1p,6,24,1,1361,1391,processed_dataset/java_functions/J2-021.java
J2-022,java,apache/commons-math,data-research/raw/commons-math/commons-math-legacy-core/src/main/java/org/apache/commons/math4/legacy/core/dfp/DfpMath.java,DfpMath::pow,6,31,2,208,249,processed_dataset/java_functions/J2-022.java
J2-023,java,apache/commons-math,data-research/raw/commons-math/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/linear/BlockFieldMatrix.java,BlockFieldMatrix::toBlocksLayout,6,35,1,205,250,processed_dataset/java_functions/J2-023.java
J2-024,java,apache/commons-math,data-research/raw/commons-math/commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/linear/BlockRealMatrix.java,BlockRealMatrix::toBlocksLayout,6,34,1,198,240,processed_dataset/java_functions/J2-024.java
