func_id,language,source_repo,file,func_name,cc,nloc,params,start_line,end_line,raw_source_path,annotator_dg,annotator_rw,final_label,notes
J2-001,java,JodaOrg/joda-time,data-research/raw/joda-time/src/main/java/org/joda/time/field/UnsupportedDateTimeField.java,UnsupportedDateTimeField::getInstance,5,18,2,53,71,processed_dataset/java_functions/J2-001.java,,,,
J2-002,java,JodaOrg/joda-time,data-research/raw/joda-time/src/main/java/org/joda/time/format/FormatUtils.java,FormatUtils::appendUnpaddedInteger,5,20,2,291,314,processed_dataset/java_functions/J2-002.java,,,,
J2-015,java,JodaOrg/joda-time,data-research/raw/joda-time/src/main/java/org/joda/time/DateTimeUtils.java,DateTimeUtils::isContiguous,6,16,1,349,364,processed_dataset/java_functions/J2-015.java,,,,
J2-016,java,JodaOrg/joda-time,data-research/raw/joda-time/src/main/java/org/joda/time/chrono/GJChronology.java,GJChronology::getInstance,6,38,3,190,229,processed_dataset/java_functions/J2-016.java,,,,
J2-025,java,JodaOrg/joda-time,data-research/raw/joda-time/src/main/java/org/joda/time/DateTimeComparator.java,DateTimeComparator::getInstance,7,12,2,105,116,processed_dataset/java_functions/J2-025.java,,,,
J2-026,java,JodaOrg/joda-time,data-research/raw/joda-time/src/main/java/org/joda/time/Minutes.java,Minutes::minutes,7,18,1,71,88,processed_dataset/java_functions/J2-026.java,,,,
J2-035,java,JodaOrg/joda-time,data-research/raw/joda-time/src/main/java/org/joda/time/DateTimeZone.java,DateTimeZone::getDefault,8,25,0,164,190,processed_dataset/java_functions/J2-035.java,,,,
J2-036,java,JodaOrg/joda-time,data-research/raw/joda-time/src/main/java/org/joda/time/Period.java,Period::fieldDifference,8,21,2,259,279,processed_dataset/java_functions/J2-036.java,,,,
J2-045,java,google/gson,data-research/raw/gson/gson/src/main/java/com/google/gson/internal/Primitives.java,Primitives::isWrapperType,9,11,1,41,51,processed_dataset/java_functions/J2-045.java,,,,
J2-046,java,jfree/jfreechart,data-research/raw/jfreechart/src/main/java/org/jfree/chart/internal/SerialUtils.java,SerialUtils::writeShape,9,59,2,377,438,processed_dataset/java_functions/J2-046.java,,,,
J2-051,java,JodaOrg/joda-time,data-research/raw/joda-time/src/main/java/org/joda/time/Interval.java,Interval::parseWithOffset,10,39,1,106,149,processed_dataset/java_functions/J2-051.java,,,,
J2-052,java,JodaOrg/joda-time,data-research/raw/joda-time/src/main/java/org/joda/time/field/FieldUtils.java,FieldUtils::safeMultiply,10,16,2,165,180,processed_dataset/java_functions/J2-052.java,,,,
P2-001,python,pallets/flask,data/raw/flask/src/flask/app.py,raise_routing_exception,5,10,2,562,588,processed_dataset/python_functions/P2-001.py,,,,
P2-002,python,pallets/flask,data/raw/flask/src/flask/app.py,update_template_context,5,12,3,590,618,processed_dataset/python_functions/P2-002.py,,,,
P2-022,python,pallets/flask,data/raw/flask/src/flask/cli.py,prepare_import,6,16,1,200,226,processed_dataset/python_functions/P2-022.py,,,,
P2-023,python,pallets/flask,data/raw/flask/src/flask/helpers.py,get_flashed_messages,6,12,2,360,399,processed_dataset/python_functions/P2-023.py,,,,
P2-034,python,pallets/flask,data/raw/flask/src/flask/app.py,create_url_adapter,7,21,2,509,560,processed_dataset/python_functions/P2-034.py,,,,
P2-035,python,pallets/flask,data/raw/flask/src/flask/app.py,handle_user_exception,7,13,3,865,895,processed_dataset/python_functions/P2-035.py,,,,
P2-044,python,pallets/flask,data/raw/flask/src/flask/app.py,preprocess_request,8,14,2,1366,1392,processed_dataset/python_functions/P2-044.py,,,,
P2-045,python,pallets/flask,data/raw/flask/src/flask/app.py,wsgi_app,8,26,3,1566,1616,processed_dataset/python_functions/P2-045.py,,,,
P2-052,python,pallets/flask,data/raw/flask/src/flask/cli.py,_validate_key,9,27,3,828,864,processed_dataset/python_functions/P2-052.py,,,,
P2-053,python,pallets/flask,data/raw/flask/src/flask/helpers.py,get_root_path,9,30,1,587,641,processed_dataset/python_functions/P2-053.py,,,,
P2-057,python,pallets/flask,data/raw/flask/src/flask/app.py,__init_subclass__,10,42,2,254,308,processed_dataset/python_functions/P2-057.py,,,,
P2-058,python,pallets/flask,data/raw/flask/src/flask/sansio/scaffold.py,_find_package_path,10,27,1,709,751,processed_dataset/python_functions/P2-058.py,,,,
