function_id,language,test_source,model,test_path,gen_status,in_tokens,out_tokens,cost_usd,timestamp
CJ-001,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-001_Test.java,ok,542,821,0.000574,2026-07-23T21:07:32.869449
CJ-002,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-002_Test.java,ok,642,448,0.000365,2026-07-23T21:07:38.342192
CJ-003,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-003_Test.java,ok,424,600,0.000424,2026-07-23T21:07:46.541168
CJ-004,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-004_Test.java,ok,395,349,0.000269,2026-07-23T21:07:51.434369
CJ-005,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-005_Test.java,ok,472,375,0.000296,2026-07-23T21:07:55.768197
CJ-006,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-006_Test.java,ok,637,705,0.000519,2026-07-23T21:08:02.720384
CJ-007,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-007_Test.java,ok,387,401,0.000299,2026-07-23T21:08:07.562929
CJ-008,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-008_Test.java,ok,427,414,0.000312,2026-07-23T21:08:11.786241
CJ-009,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-009_Test.java,ok,419,414,0.000311,2026-07-23T21:08:16.518591
CJ-010,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-010_Test.java,ok,446,350,0.000277,2026-07-23T21:08:20.228249
CJ-011,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-011_Test.java,ok,450,324,0.000262,2026-07-23T21:08:24.280666
CJ-012,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-012_Test.java,ok,679,538,0.000425,2026-07-23T21:08:30.052549
CJ-013,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-013_Test.java,ok,445,472,0.000350,2026-07-23T21:08:35.039491
CJ-014,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-014_Test.java,ok,607,1019,0.000702,2026-07-23T21:08:44.722696
CJ-015,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-015_Test.java,ok,632,576,0.000440,2026-07-23T21:08:56.944581
CJ-016,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-016_Test.java,ok,552,447,0.000351,2026-07-23T21:09:02.429167
CJ-017,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-017_Test.java,ok,442,485,0.000357,2026-07-23T21:09:08.239706
CJ-018,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-018_Test.java,ok,506,354,0.000288,2026-07-23T21:09:11.839376
CJ-019,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-019_Test.java,ok,580,480,0.000375,2026-07-23T21:09:17.422193
CJ-020,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-020_Test.java,ok,597,376,0.000315,2026-07-23T21:09:21.942145
CJ-021,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-021_Test.java,ok,588,511,0.000395,2026-07-23T21:09:29.656027
CJ-022,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-022_Test.java,ok,448,661,0.000464,2026-07-23T21:09:37.138568
CJ-023,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-023_Test.java,ok,537,563,0.000418,2026-07-23T21:09:42.795741
CJ-024,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-024_Test.java,ok,519,379,0.000305,2026-07-23T21:09:47.093946
CJ-025,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-025_Test.java,ok,439,416,0.000315,2026-07-23T21:09:51.622376
CJ-026,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-026_Test.java,ok,883,329,0.000330,2026-07-23T21:09:55.376769
CJ-027,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-027_Test.java,ok,401,275,0.000225,2026-07-23T21:09:58.604589
CJ-028,java,clean_v3fair,gpt-4o-mini-2024-07-18,generated_tests\clean_v3fair\java\CJ-028_Test.java,ok,488,569,0.000415,2026-07-23T21:10:04.055550
