[2026-07-15T00:01:16.556169] JA-001 cost=$0.000295
[2026-07-15T00:01:24.183150] JA-002 cost=$0.000437
[2026-07-15T00:01:37.452871] JA-003 cost=$0.000521
[2026-07-15T00:01:45.651659] JA-004 cost=$0.000455
[2026-07-15T00:01:52.679196] JA-005 cost=$0.000489
[2026-07-15T00:02:01.405450] JA-006 cost=$0.000324
[2026-07-15T00:02:08.904352] JA-007 cost=$0.000582
[2026-07-15T00:02:19.133020] JA-008 cost=$0.000409
[2026-07-15T00:02:28.314237] JA-009 cost=$0.000487
[2026-07-15T00:02:37.645347] JA-010 cost=$0.000531
[2026-07-15T00:02:46.473028] JA-011 cost=$0.000416
[2026-07-15T00:02:57.332951] JA-012 cost=$0.000433
[2026-07-15T00:03:02.720162] JA-013 cost=$0.000251
[2026-07-15T00:03:13.277303] JA-014 cost=$0.000573
[2026-07-15T00:03:20.097006] JA-015 cost=$0.000423
[2026-07-15T00:03:34.282164] JA-016 cost=$0.000546
[2026-07-15T00:03:44.169707] JA-017 cost=$0.000287
[2026-07-15T00:03:53.062696] JA-018 cost=$0.000394
[2026-07-15T00:04:04.775764] JA-019 cost=$0.000417
[2026-07-15T00:04:16.520107] JA-020 cost=$0.000500
[2026-07-15T00:04:21.945354] JA-021 cost=$0.000265
[2026-07-15T00:04:30.612711] JA-022 cost=$0.000348
[2026-07-15T00:04:44.231383] JA-023 cost=$0.000685
[2026-07-15T00:04:52.065630] JA-024 cost=$0.000412
[2026-07-15T00:05:00.618796] JA-025 cost=$0.000483
[2026-07-15T00:05:11.692848] JA-026 cost=$0.000472
[2026-07-15T00:05:28.976548] JA-027 cost=$0.000729
[2026-07-15T00:05:35.926118] JA-028 cost=$0.000356
[2026-07-15T00:05:47.057872] JA-029 cost=$0.000490
[2026-07-15T00:05:56.260188] JA-030 cost=$0.000370
[2026-07-15T00:06:02.862461] JA-031 cost=$0.000344
[2026-07-15T00:06:08.854196] JA-032 cost=$0.000301
[2026-07-15T00:06:16.304473] JA-033 cost=$0.000303
[2026-07-15T00:06:21.819595] JA-034 cost=$0.000429
[2026-07-15T00:06:28.880709] JA-035 cost=$0.000572
[2026-07-15T00:06:34.526194] JA-036 cost=$0.000299
[2026-07-15T00:06:57.838967] JA-037 cost=$0.001049
[2026-07-15T00:07:04.933270] JA-038 cost=$0.000348
[2026-07-15T00:07:12.327298] JA-039 cost=$0.000556
[2026-07-15T00:07:19.816636] JA-040 cost=$0.000542
[2026-07-15T00:07:24.593962] JA-041 cost=$0.000336
[2026-07-15T00:07:32.671931] JA-042 cost=$0.000322
[2026-07-15T00:07:46.930327] JA-043 cost=$0.000600
[2026-07-15T00:08:01.965555] JA-044 cost=$0.000362
[2026-07-15T00:08:11.099593] JA-045 cost=$0.000692
[2026-07-15T00:08:17.326511] JA-046 cost=$0.000372
[2026-07-15T00:08:33.209540] JA-047 cost=$0.000619
[2026-07-15T00:08:39.276447] JA-048 cost=$0.000271
[2026-07-15T00:08:46.854425] JA-049 cost=$0.000426
[2026-07-15T00:08:57.098783] JA-050 cost=$0.000490
[2026-07-15T00:09:05.552004] JA-051 cost=$0.000415
[2026-07-15T00:09:13.216201] JA-052 cost=$0.000290
[2026-07-15T00:09:33.410869] JA-053 cost=$0.000679
[2026-07-15T00:09:42.355205] JA-054 cost=$0.000361
[2026-07-15T00:09:50.198399] JA-055 cost=$0.000533
[2026-07-15T00:10:05.218432] JA-056 cost=$0.000482
[2026-07-15T00:10:17.537548] JA-057 cost=$0.000655
[2026-07-15T00:10:35.335924] JA-058 cost=$0.000649
[2026-07-15T00:10:44.843981] JA-059 cost=$0.000437
[2026-07-15T00:10:51.510609] JA-060 cost=$0.000278
[2026-07-15T00:11:00.439251] PY-001 cost=$0.000450
[2026-07-15T00:11:05.057440] PY-002 cost=$0.000327
[2026-07-15T00:11:09.760849] PY-003 cost=$0.000302
[2026-07-15T00:11:15.774397] PY-004 cost=$0.000307
[2026-07-15T00:11:20.499562] PY-005 cost=$0.000294
[2026-07-15T00:11:25.331475] PY-006 cost=$0.000314
[2026-07-15T00:11:31.415415] PY-007 cost=$0.000353
[2026-07-15T00:11:36.898511] PY-008 cost=$0.000305
[2026-07-15T00:11:45.700119] PY-009 cost=$0.000428
[2026-07-15T00:11:48.829362] PY-010 cost=$0.000262
[2026-07-15T00:11:54.671557] PY-011 cost=$0.000375
[2026-07-15T00:12:01.556553] PY-012 cost=$0.000394
[2026-07-15T00:12:06.092648] PY-013 cost=$0.000287
[2026-07-15T00:12:12.295191] PY-014 cost=$0.000334
[2026-07-15T00:12:20.031083] PY-015 cost=$0.000409
[2026-07-15T00:12:25.334952] PY-016 cost=$0.000254
[2026-07-15T00:12:34.215607] PY-017 cost=$0.000403
[2026-07-15T00:12:50.028725] PY-018 cost=$0.000589
[2026-07-15T00:12:57.055620] PY-019 cost=$0.000320
[2026-07-15T00:13:04.228442] PY-020 cost=$0.000326
[2026-07-15T00:13:11.256199] PY-021 cost=$0.000380
[2026-07-15T00:13:18.243321] PY-022 cost=$0.000348
[2026-07-15T00:13:25.615661] PY-023 cost=$0.000303
[2026-07-15T00:13:30.808327] PY-024 cost=$0.000270
[2026-07-15T00:13:37.640902] PY-025 cost=$0.000222
[2026-07-15T00:13:46.649872] PY-026 cost=$0.000375
[2026-07-15T00:13:54.025363] PY-027 cost=$0.000246
[2026-07-15T00:13:57.908711] PY-028 cost=$0.000136
[2026-07-15T00:14:13.377333] PY-029 cost=$0.000525
[2026-07-15T00:14:23.364469] PY-030 cost=$0.000328
[2026-07-15T00:14:28.329065] PY-031 cost=$0.000277
[2026-07-15T00:14:39.961985] PY-032 cost=$0.000449
[2026-07-15T00:14:46.347522] PY-033 cost=$0.000342
[2026-07-15T00:14:57.553883] PY-034 cost=$0.000395
[2026-07-15T00:15:11.411531] PY-035 cost=$0.000570
[2026-07-15T00:15:20.824242] PY-036 cost=$0.000415
[2026-07-15T00:15:26.333486] PY-037 cost=$0.000341
[2026-07-15T00:15:34.887165] PY-038 cost=$0.000398
[2026-07-15T00:15:45.554425] PY-039 cost=$0.000492
[2026-07-15T00:16:02.397474] PY-040 cost=$0.000375
[2026-07-15T00:16:08.082162] PY-041 cost=$0.000236
[2026-07-15T00:16:14.329047] PY-042 cost=$0.000332
[2026-07-15T00:16:24.496444] PY-043 cost=$0.000374
[2026-07-15T00:16:38.643078] PY-044 cost=$0.000457
[2026-07-15T00:16:59.307377] PY-045 cost=$0.000640
[2026-07-15T00:17:14.852065] PY-046 cost=$0.000567
[2026-07-15T00:17:18.026239] PY-047 cost=$0.000249
[2026-07-15T00:17:24.575099] PY-048 cost=$0.000274
[2026-07-15T00:17:33.601610] PY-049 cost=$0.000334
[2026-07-15T00:17:40.565138] PY-050 cost=$0.000291
[2026-07-15T00:17:53.608595] PY-051 cost=$0.000479
[2026-07-15T00:17:58.777307] PY-052 cost=$0.000329
[2026-07-15T00:18:12.733255] PY-053 cost=$0.000317
[2026-07-15T00:18:17.180168] PY-054 cost=$0.000206
[2026-07-15T00:18:24.413649] PY-055 cost=$0.000351
[2026-07-15T00:18:34.205822] PY-056 cost=$0.000410
[2026-07-15T00:18:41.914357] PY-057 cost=$0.000396
[2026-07-15T00:18:46.450643] PY-058 cost=$0.000276
[2026-07-15T00:18:57.832076] PY-059 cost=$0.000475
[2026-07-15T00:19:07.839309] PY-060 cost=$0.000350
